Excitation Force 1.heave heading 180.0º mag
ω [rad/s];Fexₘₐ₃ tanker(Wm.o) [N/m]
0.300000014666746;13133260.832335
0.349999961406977;3332463.56363813
0.400000083217654;7275995.130383
0.450000129429741;10667902.1197787
0.500000024444576;10761092.5082325
0.550000158191906;8046785.48852063
0.600000315812554;4163252.20779037
0.650000062813167;3207573.76745838
0.700000078785798;4987845.91758775
0.750000036666864;5250667.74153162
0.800000064576116;3599625.76183875
0.850000082140296;2341177.56942212
0.900000129943923;3541155.35189412
0.950000182522204;3582169.777739
1.00000004888915;2006167.62189725
1.0500000011998;2412305.22638875
1.09999993122876;2671918.51058563
1.14999987319435;1356878.5926815
1.19999994407542;2002999.28941525
1.24999981243187;1332014.4200055
1.29999985665448;1317857.441999
1.34999980816937;1023406.57304288
1.39999984562791;995631.494899037
1.44999974780478;667543.027007587
1.49999971523516;837438.12163795
1.54999959473247;508615.167533113
1.59999951799738;649230.527645175
1.64999960797701;560037.645995888
1.69999924436534;411323.93960385
1.74999931962311;490242.156236875
1.79999922856411;397628.1389269
1.84999911880442;272057.533232538
1.89999921594597;281575.4975215
1.94999897806668;289667.511157238
1.99999914284901;218078.17427025
2.04999895828657;150697.23129265
2.09999930052653;153942.661205287
2.14999909567183;165473.300661987
2.19999947730268;153356.640317913
2.24999903570513;126527.237046875
2.29999890445955;97136.369648115
2.34999901154827;74535.4337635163
2.39999897141881;60305.5599855713
2.44999850157145;51082.6768144437
2.49999912750478;42448.90043828
2.54999921151609;34825.8542896862
2.59999863742224;29319.258259795
2.64999812619473;26980.803727395
