Excitation Force 1.roll heading 180.0º mag
ω [rad/s];Fexₘₐ₄ tanker(Wm.o) [Nm/m]
0.300000014666746;1.33124947678887
0.349999961406977;0.77374177242495
0.400000083217654;0.859293383637675
0.450000129429741;1.37953036060088
0.500000024444576;1.71057185107025
0.550000158191906;1.66216934028163
0.600000315812554;1.28102055098763
0.650000062813167;0.970879299456063
0.700000078785798;1.22192994398037
0.750000036666864;1.50251131687475
0.800000064576116;1.33893911622012
0.850000082140296;0.921068328174487
0.900000129943923;1.09464077926175
0.950000182522204;1.30737440283188
1.00000004888915;0.8474975772683
1.0500000011998;0.744055039866688
1.09999993122876;1.10340194230525
1.14999987319435;0.506434627034
1.19999994407542;0.696983188513237
1.24999981243187;0.69705204345455
1.29999985665448;0.298621568554575
1.34999980816937;0.598176046175313
1.39999984562791;0.212624661881975
1.44999974780478;0.44960125588385
1.49999971523516;0.300997717397912
1.54999959473247;0.277159433088388
1.59999951799738;0.352186089060225
1.64999960797701;0.1383322910872
1.69999924436534;0.23336497642325
1.74999931962311;0.231708135550762
1.79999922856411;0.07349952373624
1.84999911880442;0.15376745804805
1.89999921594597;0.231170765454038
1.94999897806668;0.142354726395962
1.99999914284901;0.091944646762255
2.04999895828657;0.150416081992137
2.09999930052653;0.145784205064138
2.14999909567183;0.117647864644275
2.19999947730268;0.0875434288617438
2.24999903570513;0.05513107596458
2.29999890445955;0.04904265065469
2.34999901154827;0.0660495296562063
2.39999897141881;0.0740856451417775
2.44999850157145;0.0704557734648425
2.49999912750478;0.0666183920932425
2.54999921151609;0.0640304816369662
2.59999863742224;0.0629274455807725
2.64999812619473;0.0601474348641425
