Excitation Force 1.surge heading 180.0º mag
ω [rad/s];Fexₘₐ₁ tanker(Wm.o) [N/m]
0.300000014666746;4471015.702188
0.349999961406977;2469722.20599038
0.400000083217654;2183553.02844262
0.450000129429741;3681224.395793
0.500000024444576;4645156.38244788
0.550000158191906;4704149.4868375
0.600000315812554;3966521.07569025
0.650000062813167;2849664.77733437
0.700000078785798;2422838.52463712
0.750000036666864;2785701.04980912
0.800000064576116;2873670.52490262
0.850000082140296;2431095.08650487
0.900000129943923;1917980.02239113
0.950000182522204;1751193.25089975
1.00000004888915;1647473.58492412
1.0500000011998;1350017.22290925
1.09999993122876;1027165.95232038
1.14999987319435;958335.3364032
1.19999994407542;691709.804672162
1.24999981243187;609265.611934962
1.29999985665448;477630.644978812
1.34999980816937;462587.498851713
1.39999984562791;396106.796537462
1.44999974780478;419321.566685
1.49999971523516;367029.304562112
1.54999959473247;373144.125941475
1.59999951799738;303877.6632717
1.64999960797701;284313.712786163
1.69999924436534;241454.075032275
1.74999931962311;180489.005330725
1.79999922856411;168749.991723163
1.84999911880442;170721.755998762
1.89999921594597;167860.405985038
1.94999897806668;156486.876416325
1.99999914284901;152584.359275425
2.04999895828657;143917.0801957
2.09999930052653;122674.37587825
2.14999909567183;102193.297678063
2.19999947730268;91995.18729436
2.24999903570513;91764.116142405
2.29999890445955;95148.9848500625
2.34999901154827;94627.8082293162
2.39999897141881;87527.637458415
2.44999850157145;76855.4532649138
2.49999912750478;68996.95337248
2.54999921151609;67015.5896123612
2.59999863742224;68265.7943102712
2.64999812619473;67459.7190615513
