Excitation Force 1.yaw heading 180.0º mag
ω [rad/s];Fexₘₐ₆ tanker(Wm.o) [Nm/m]
0.300000014666746;44.0072033560688
0.349999961406977;43.7351509492625
0.400000083217654;36.5822885575787
0.450000129429741;24.4603811654212
0.500000024444576;11.9529966718925
0.550000158191906;12.4360568054188
0.600000315812554;20.6353936832575
0.650000062813167;23.2571184493988
0.700000078785798;18.0565801206875
0.750000036666864;8.16254320963725
0.800000064576116;8.89571967136738
0.850000082140296;14.3622964052225
0.900000129943923;11.1484995583237
0.950000182522204;2.9878058828765
1.00000004888915;9.04538618942175
1.0500000011998;7.91477297534612
1.09999993122876;2.00912386105637
1.14999987319435;7.41343361396925
1.19999994407542;2.013756743166
1.24999981243187;5.3645457730095
1.29999985665448;2.371311909358
1.34999980816937;4.14770104287
1.39999984562791;1.3890524461345
1.44999974780478;3.56339901607375
1.49999971523516;1.33860740628388
1.54999959473247;2.68912822518725
1.59999951799738;2.46927490016725
1.64999960797701;1.38418435152463
1.69999924436534;2.55355334833375
1.74999931962311;2.00193480207437
1.79999922856411;0.752727646409025
1.84999911880442;2.04728256590462
1.89999921594597;2.02650043580775
1.94999897806668;0.866680965990613
1.99999914284901;0.7917043680637
2.04999895828657;1.65843810608962
2.09999930052653;1.69941835575925
2.14999909567183;1.14864818279137
2.19999947730268;0.532517180357662
2.24999903570513;0.32540342673475
2.29999890445955;0.533583074952813
2.34999901154827;0.76127510783905
2.39999897141881;0.920929110519425
2.44999850157145;0.9684997329952
2.49999912750478;0.908784104053525
2.54999921151609;0.801538059901075
2.59999863742224;0.720852834489462
2.64999812619473;0.683833301976825
