Added mass 1.surge_heave
ω [rad/s];A₁₃ tanker(Wm.o) [kg];ω [rad/s];A∞₁₃ tanker(Wm.o) [kg];ω [rad/s];A₀₁₃ tanker(Wm.o) [kg]
0.300000014666746;3551698.2875;0.300000014666746;3078251.72987487;0;4521216.51373778
0.349999961406977;3215449.6;2.64999812619473;3078251.72987487;;
0.400000083217654;3210139.5875;;;;
0.450000129429741;3333872.975;;;;
0.500000024444576;3400310.4;;;;
0.550000158191906;3317195.2;;;;
0.600000315812554;3127951.5;;;;
0.650000062813167;2966453.0125;;;;
0.700000078785798;2914364.5625;;;;
0.750000036666864;2947883.0875;;;;
0.800000064576116;2982612.1375;;;;
0.850000082140296;2958400.6125;;;;
0.900000129943923;2912422.7;;;;
0.950000182522204;2914558.2875;;;;
1.00000004888915;2943595.5125;;;;
1.0500000011998;2936084.825;;;;
1.09999993122876;2920642.175;;;;
1.14999987319435;2928144.6625;;;;
1.19999994407542;2926002.4125;;;;
1.24999981243187;2913757.7625;;;;
1.29999985665448;2920420.2625;;;;
1.34999980816937;2916103.475;;;;
1.39999984562791;2924268.1125;;;;
1.44999974780478;2929779.5375;;;;
1.49999971523516;2941296.95;;;;
1.54999959473247;2952539.15;;;;
1.59999951799738;2965922.0625;;;;
1.64999960797701;2979093.3125;;;;
1.69999924436534;2992417.2875;;;;
1.74999931962311;3005012.4875;;;;
1.79999922856411;3018086.875;;;;
1.84999911880442;3030600.5875;;;;
1.89999921594597;3043375.675;;;;
1.94999897806668;3055990.8625;;;;
1.99999914284901;3067905.4625;;;;
2.04999895828657;3079271.175;;;;
2.09999930052653;3089623.675;;;;
2.14999909567183;3099025.4875;;;;
2.19999947730268;3107768.7375;;;;
2.24999903570513;3115885.2;;;;
2.29999890445955;3123446.1125;;;;
2.34999901154827;3130411.5;;;;
2.39999897141881;3136709.6125;;;;
2.44999850157145;3142184.1375;;;;
2.49999912750478;3146820.725;;;;
2.54999921151609;3150627.575;;;;
2.59999863742224;3153757.925;;;;
2.64999812619473;3156355.275;;;;
