Excitation Force 1.heave heading 45.0º phase
ω [rad/s];Fexₚₕ₃ tanker(Wm.o) [rad]
0.300000014666746;0.610865238198015
0.349999961406977;0.767944870877505
0.400000083217654;0.959931088596881
0.450000129429741;1.25663706143592
0.500000024444576;2.79252680319093
0.550000158191906;-2.25147473507268
0.600000315812554;-1.97222205475359
0.650000062813167;-1.74532925199433
0.700000078785798;-1.48352986419518
0.750000036666864;-1.06465084371654
0.800000064576116;-0.20943951023932
0.850000082140296;0.959931088596881
0.900000129943923;1.65806278939461
0.950000182522204;2.25147473507268
1.00000004888915;3.05432619099008
1.0500000011998;-2.04203522483337
1.09999993122876;-1.15191730631626
1.14999987319435;-0.401425727958696
1.19999994407542;0.907571211037051
1.24999981243187;2.14675497995303
1.29999985665448;2.9845130209103
1.34999980816937;-1.86750229963393
1.39999984562791;-0.418879020478639
1.44999974780478;0.628318530717959
1.49999971523516;2.460914245312
1.54999959473247;-2.49582083035189
1.59999951799738;-0.628318530717959
1.64999960797701;0.872664625997165
1.69999924436534;3.03687289847013
1.74999931962311;-1.79768912955416
1.79999922856411;0.418879020478639
1.84999911880442;1.91986217719376
1.89999921594597;-2.2165681500328
1.94999897806668;-0.506145483078356
1.99999914284901;1.58824961931484
2.04999895828657;-2.63544717051144
2.09999930052653;-0.610865238198015
2.14999909567183;1.83259571459405
2.19999947730268;-2.3387411976724
2.24999903570513;0.0698131700797732
2.29999890445955;2.44346095279206
2.34999901154827;-1.53588974175501
2.39999897141881;0.820304748437335
2.44999850157145;-3.00196631343025
2.49999912750478;-0.506145483078356
2.54999921151609;1.93731546971371
2.59999863742224;-1.64060949687467
2.64999812619473;1.08210413623648
