Excitation Force 1.yaw heading 45.0º phase
ω [rad/s];Fexₚₕ₆ tanker(Wm.o) [rad]
0.300000014666746;-0.174532925199433
0.349999961406977;-0.261799387799149
0.400000083217654;-0.331612557878923
0.450000129429741;-0.383972435438753
0.500000024444576;-0.436332312998582
0.550000158191906;-0.506145483078356
0.600000315812554;-0.628318530717959
0.650000062813167;-1.30899693899575
0.700000078785798;3.07177948351002
0.750000036666864;2.94960643587042
0.800000064576116;2.96705972839036
0.850000082140296;3.05432619099008
0.900000129943923;-2.84488668075076
0.950000182522204;-0.733038285837618
1.00000004888915;-0.226892802759263
1.0500000011998;0.20943951023932
1.09999993122876;2.28638132011257
1.14999987319435;2.80998009571087
1.19999994407542;2.9845130209103
1.24999981243187;0.0174532925199433
1.29999985665448;0.0872664625997165
1.34999980816937;0.20943951023932
1.39999984562791;-2.7401669256311
1.44999974780478;-2.56563400043166
1.49999971523516;-1.8151424220741
1.54999959473247;0.767944870877505
1.59999951799738;0.872664625997165
1.64999960797701;-2.12930168743308
1.69999924436534;-2.61799387799149
1.74999931962311;1.6929693744345
1.79999922856411;0.15707963267949
1.84999911880442;-0.750491578357562
1.89999921594597;2.18166156499291
1.94999897806668;2.94960643587042
1.99999914284901;-0.855211333477222
2.04999895828657;0.401425727958696
2.09999930052653;2.84488668075076
2.14999909567183;-1.58824961931484
2.19999947730268;0.383972435438752
2.24999903570513;-2.93215314335047
2.29999890445955;-1.62315620435473
2.34999901154827;1.44862327915529
2.39999897141881;-1.8151424220741
2.44999850157145;1.0471975511966
2.49999912750478;2.84488668075076
2.54999921151609;-0.663225115757845
2.59999863742224;1.98967534727354
2.64999812619473;-2.00712863979348
