Excitation Force 1.roll heading 90.0º mag
ω [rad/s];Fexₘₐ₄ tanker(Wm.o) [Nm/m]
0.300000014666746;155090277.06655
0.349999961406977;159571477.268963
0.400000083217654;161315065.315688
0.450000129429741;161384121.293325
0.500000024444576;159283894.80605
0.550000158191906;154508578.460162
0.600000315812554;147779792.14425
0.650000062813167;140246056.383038
0.700000078785798;132028294.526012
0.750000036666864;122573455.6431
0.800000064576116;112510783.43155
0.850000082140296;102969398.410725
0.900000129943923;93113622.7330487
0.950000182522204;82690994.9815862
1.00000004888915;73700982.2375225
1.0500000011998;65198351.9079725
1.09999993122876;56853344.1090387
1.14999987319435;50256859.7986088
1.19999994407542;43759677.3809125
1.24999981243187;38550494.4902262
1.29999985665448;33627145.046425
1.34999980816937;29612570.25797
1.39999984562791;25891659.2812588
1.44999974780478;22817743.509295
1.49999971523516;20067154.4588288
1.54999959473247;17634423.94182
1.59999951799738;15463382.4090637
1.64999960797701;13444927.4469825
1.69999924436534;11557457.702455
1.74999931962311;9815118.09130825
1.79999922856411;8194677.86100688
1.84999911880442;6731840.05768925
1.89999921594597;5447594.88404862
1.94999897806668;4368244.92766638
1.99999914284901;3511831.188348
2.04999895828657;2860684.58348925
2.09999930052653;2393235.92578087
2.14999909567183;2077130.42907737
2.19999947730268;1878941.783621
2.24999903570513;1783818.43090237
2.29999890445955;1796741.04587337
2.34999901154827;1924157.86865837
2.39999897141881;2141805.82519312
2.44999850157145;2387794.87764475
2.49999912750478;2598163.30885125
2.54999921151609;2737504.60125362
2.59999863742224;2803088.68155837
2.64999812619473;2819822.94525138
