Excitation Force 1.surge heading 90.0º mag
ω [rad/s];Fexₘₐ₁ tanker(Wm.o) [N/m]
0.300000014666746;264085.638800988
0.349999961406977;276104.394454787
0.400000083217654;299577.49627995
0.450000129429741;358783.397619587
0.500000024444576;442443.257014062
0.550000158191906;512109.983006913
0.600000315812554;532862.0581732
0.650000062813167;505568.763582225
0.700000078785798;468993.822902325
0.750000036666864;465702.2551531
0.800000064576116;487179.267307338
0.850000082140296;481597.493743712
0.900000129943923;450332.827070525
0.950000182522204;455630.636825087
1.00000004888915;497149.1612549
1.0500000011998;534014.699942588
1.09999993122876;580348.345910637
1.14999987319435;634973.333030662
1.19999994407542;680246.411866175
1.24999981243187;708163.622691788
1.29999985665448;727027.36365735
1.34999980816937;726295.1893617
1.39999984562791;712348.193796662
1.44999974780478;683687.852195687
1.49999971523516;640631.1988433
1.54999959473247;585180.5555365
1.59999951799738;518241.590919412
1.64999960797701;448143.943563925
1.69999924436534;383587.158879925
1.74999931962311;335915.515650837
1.79999922856411;312062.555689588
1.84999911880442;305657.337338763
1.89999921594597;306138.316746325
1.94999897806668;303597.519152812
1.99999914284901;293230.7794997
2.04999895828657;273247.165685725
2.09999930052653;245244.011831175
2.14999909567183;216581.2577943
2.19999947730268;198552.621722787
2.24999903570513;197944.285803338
2.29999890445955;209331.0837695
2.34999901154827;221732.411549775
2.39999897141881;227330.167501237
2.44999850157145;222687.736166175
2.49999912750478;208126.574628262
2.54999921151609;187886.53898175
2.59999863742224;169061.0954361
2.64999812619473;156484.966571238
