Excitation Force 1.yaw heading 90.0º mag
ω [rad/s];Fexₘₐ₆ tanker(Wm.o) [Nm/m]
0.300000014666746;75518099.3201163
0.349999961406977;72717361.7583787
0.400000083217654;70115308.3966388
0.450000129429741;68704224.3796475
0.500000024444576;65727690.6035137
0.550000158191906;60769310.5800812
0.600000315812554;62027345.64285
0.650000062813167;75705042.9987337
0.700000078785798;92767558.8031937
0.750000036666864;105639562.879375
0.800000064576116;122761223.57065
0.850000082140296;149772966.788463
0.900000129943923;172987837.454163
0.950000182522204;191652150.385325
1.00000004888915;217474261.14995
1.0500000011998;238626197.566662
1.09999993122876;257610761.36355
1.14999987319435;277728365.888137
1.19999994407542;291239414.182412
1.24999981243187;305765494.881612
1.29999985665448;313757392.4275
1.34999980816937;320891970.565425
1.39999984562791;322710947.234025
1.44999974780478;321550264.011638
1.49999971523516;316371266.72515
1.54999959473247;307352676.667488
1.59999951799738;295218325.126813
1.64999960797701;280312486.809687
1.69999924436534;263463431.375113
1.74999931962311;245446455.41045
1.79999922856411;227205022.388925
1.84999911880442;209778289.074462
1.89999921594597;194110523.085588
1.94999897806668;180806240.651575
1.99999914284901;170038835.602738
2.04999895828657;161679544.172913
2.09999930052653;155587138.343787
2.14999909567183;151693567.31935
2.19999947730268;149837298.412462
2.24999903570513;149679987.48815
2.29999890445955;150684767.0405
2.34999901154827;152076943.591125
2.39999897141881;152906721.022562
2.44999850157145;152353167.501675
2.49999912750478;150057332.670175
2.54999921151609;146162555.427787
2.59999863742224;141134837.975863
2.64999812619473;135572162.863113
