Excitation Force 1.heave heading 90.0º mag
ω [rad/s];Fexₘₐ₃ tanker(Wm.o) [N/m]
0.300000014666746;74027012.8975912
0.349999961406977;72098280.4473575
0.400000083217654;69257948.7814112
0.450000129429741;66217917.6820262
0.500000024444576;63432499.0882537
0.550000158191906;60874955.1688688
0.600000315812554;58084269.4233812
0.650000062813167;54775533.1720013
0.700000078785798;51174238.808665
0.750000036666864;47636904.1521275
0.800000064576116;44206249.4214513
0.850000082140296;40679630.0010362
0.900000129943923;37130685.49673
0.950000182522204;33783470.892745
1.00000004888915;30563059.9507537
1.0500000011998;27488169.1526137
1.09999993122876;24678415.1117
1.14999987319435;22039883.7087887
1.19999994407542;19669906.6806288
1.24999981243187;17503217.5843087
1.29999985665448;15561035.8039325
1.34999980816937;13809165.0606175
1.39999984562791;12236297.0610825
1.44999974780478;10820579.1568
1.49999971523516;9546603.923822
1.54999959473247;8406694.79007838
1.59999951799738;7386941.04706075
1.64999960797701;6488490.61218487
1.69999924436534;5704620.83074275
1.74999931962311;5035914.70807687
1.79999922856411;4474050.34551387
1.84999911880442;4009870.53845
1.89999921594597;3630491.87399762
1.94999897806668;3321339.21859425
1.99999914284901;3070331.294289
2.04999895828657;2865775.82841987
2.09999930052653;2698910.65276175
2.14999909567183;2562709.54775588
2.19999947730268;2448843.5784575
2.24999903570513;2348182.68016675
2.29999890445955;2252882.41548212
2.34999901154827;2158473.74689887
2.39999897141881;2065511.534674
2.44999850157145;1977479.73831975
2.49999912750478;1899495.737489
2.54999921151609;1836088.880584
2.59999863742224;1787446.131387
2.64999812619473;1749663.3644665
