Excitation Force 1.pitch heading 90.0º mag
ω [rad/s];Fexₘₐ₅ tanker(Wm.o) [Nm/m]
0.300000014666746;796437667.817663
0.349999961406977;772599081.95365
0.400000083217654;741050853.54405
0.450000129429741;708670435.267112
0.500000024444576;679500165.027775
0.550000158191906;651626478.566525
0.600000315812554;619518967.100775
0.650000062813167;581684232.290262
0.700000078785798;541668755.944313
0.750000036666864;503131801.250575
0.800000064576116;465522729.714875
0.850000082140296;426387490.917938
0.900000129943923;386005927.424163
0.950000182522204;347999306.555775
1.00000004888915;313961444.297375
1.0500000011998;285180078.82875
1.09999993122876;262847355.55715
1.14999987319435;248455064.532237
1.19999994407542;245202899.902712
1.24999981243187;244756197.188563
1.29999985665448;251453219.765125
1.34999980816937;256439222.179612
1.39999984562791;262428496.374013
1.44999974780478;266015185.448337
1.49999971523516;267461541.28855
1.54999959473247;267383338.158125
1.59999951799738;264657285.591125
1.64999960797701;260150252.22095
1.69999924436534;254300798.790588
1.74999931962311;246850191.549762
1.79999922856411;237987706.198463
1.84999911880442;227624082.608388
1.89999921594597;215815208.877888
1.94999897806668;202646726.481412
1.99999914284901;188688673.9185
2.04999895828657;174637541.537112
2.09999930052653;161301394.845588
2.14999909567183;149528808.17175
2.19999947730268;139733313.236125
2.24999903570513;131782427.100538
2.29999890445955;125262919.59895
2.34999901154827;119775130.517263
2.39999897141881;115052385.170363
2.44999850157145;111041811.004775
2.49999912750478;107815982.133825
2.54999921151609;105284532.729425
2.59999863742224;103026492.727025
2.64999812619473;100448342.584328
