Added mass 1.surge_pitch
ω [rad/s];A₁₅ tanker(Wm.o) [kg m/rad];ω [rad/s];A∞₁₅ tanker(Wm.o) [kg m/rad];ω [rad/s];A₀₁₅ tanker(Wm.o) [kg m/rad]
0.300000014666746;1229126700;0.300000014666746;646880509.660911;0;1229126700
0.349999961406977;828849747.5;2.64999812619473;646880509.660911;;
0.400000083217654;647594897.5;;;;
0.450000129429741;633852005;;;;
0.500000024444576;672892922.5;;;;
0.550000158191906;682322717.5;;;;
0.600000315812554;647992597.5;;;;
0.650000062813167;595304317.5;;;;
0.700000078785798;559149800;;;;
0.750000036666864;549792985;;;;
0.800000064576116;547391102.5;;;;
0.850000082140296;535319677.5;;;;
0.900000129943923;519784982.5;;;;
0.950000182522204;513858432.5;;;;
1.00000004888915;513658250;;;;
1.0500000011998;510054657.5;;;;
1.09999993122876;507766140;;;;
1.14999987319435;512001235;;;;
1.19999994407542;515675757.5;;;;
1.24999981243187;521093702.5;;;;
1.29999985665448;529855095;;;;
1.34999980816937;538292075;;;;
1.39999984562791;548692545;;;;
1.44999974780478;558849577.5;;;;
1.49999971523516;569456482.5;;;;
1.54999959473247;579712222.5;;;;
1.59999951799738;589714480;;;;
1.64999960797701;599285417.5;;;;
1.69999924436534;608463370;;;;
1.74999931962311;617107400;;;;
1.79999922856411;625461355;;;;
1.84999911880442;633342375;;;;
1.89999921594597;640865465;;;;
1.94999897806668;648000490;;;;
1.99999914284901;654708910;;;;
2.04999895828657;661045972.5;;;;
2.09999930052653;666983080;;;;
2.14999909567183;672543090;;;;
2.19999947730268;677787195;;;;
2.24999903570513;682742660;;;;
2.29999890445955;687429780;;;;
2.34999901154827;691867210;;;;
2.39999897141881;696048185;;;;
2.44999850157145;699974447.5;;;;
2.49999912750478;703653377.5;;;;
2.54999921151609;707105782.5;;;;
2.59999863742224;710356570;;;;
2.64999812619473;713423472.5;;;;
