Added mass 1.heave_surge
ω [rad/s];A₃₁ tanker(Wm.o) [kg];ω [rad/s];A∞₃₁ tanker(Wm.o) [kg];ω [rad/s];A₀₃₁ tanker(Wm.o) [kg]
0.300000014666746;3548911.825;0.300000014666746;3077004.23159751;0;4514238.14748968
0.349999961406977;3213729.65;2.64999812619473;3077004.23159751;;
0.400000083217654;3208789.15;;;;
0.450000129429741;3332431.825;;;;
0.500000024444576;3398740.1;;;;
0.550000158191906;3315719.2;;;;
0.600000315812554;3126769.675;;;;
0.650000062813167;2965619.175;;;;
0.700000078785798;2913717.275;;;;
0.750000036666864;2947250.15;;;;
0.800000064576116;2981994.575;;;;
0.850000082140296;2957960.375;;;;
0.900000129943923;2912215.65;;;;
0.950000182522204;2914408.125;;;;
1.00000004888915;2943464.825;;;;
1.0500000011998;2936163.75;;;;
1.09999993122876;2920859.475;;;;
1.14999987319435;2928449.6;;;;
1.19999994407542;2926506.2;;;;
1.24999981243187;2914412.225;;;;
1.29999985665448;2921198.75;;;;
1.34999980816937;2917017.775;;;;
1.39999984562791;2925252.625;;;;
1.44999974780478;2930814.275;;;;
1.49999971523516;2942319.9;;;;
1.54999959473247;2953522.125;;;;
1.59999951799738;2966818.425;;;;
1.64999960797701;2979885.125;;;;
1.69999924436534;2993084.05;;;;
1.74999931962311;3005531.65;;;;
1.79999922856411;3018443.575;;;;
1.84999911880442;3030762.025;;;;
1.89999921594597;3043305.975;;;;
1.94999897806668;3055642.875;;;;
1.99999914284901;3067267.4;;;;
2.04999895828657;3078289.225;;;;
2.09999930052653;3088254.275;;;;
2.14999909567183;3097246.6;;;;
2.19999947730268;3105549.1;;;;
2.24999903570513;3113176.125;;;;
2.29999890445955;3120218.9;;;;
2.34999901154827;3126635.4;;;;
2.39999897141881;3132286.225;;;;
2.44999850157145;3137127.3;;;;
2.49999912750478;3141085.85;;;;
2.54999921151609;3144156.75;;;;
2.59999863742224;3146553.2;;;;
2.64999812619473;3148354.125;;;;
