Added mass 1.surge_heave
ω [rad/s];A₁₃ tanker(Wm.o) [kg];ω [rad/s];A∞₁₃ tanker(Wm.o) [kg];ω [rad/s];A₀₁₃ tanker(Wm.o) [kg]
0.300000014666746;3554484.75;0.300000014666746;3079499.22815224;0;4528194.87998588
0.349999961406977;3217169.55;2.64999812619473;3079499.22815224;;
0.400000083217654;3211490.025;;;;
0.450000129429741;3335314.125;;;;
0.500000024444576;3401880.7;;;;
0.550000158191906;3318671.2;;;;
0.600000315812554;3129133.325;;;;
0.650000062813167;2967286.85;;;;
0.700000078785798;2915011.85;;;;
0.750000036666864;2948516.025;;;;
0.800000064576116;2983229.7;;;;
0.850000082140296;2958840.85;;;;
0.900000129943923;2912629.75;;;;
0.950000182522204;2914708.45;;;;
1.00000004888915;2943726.2;;;;
1.0500000011998;2936005.9;;;;
1.09999993122876;2920424.875;;;;
1.14999987319435;2927839.725;;;;
1.19999994407542;2925498.625;;;;
1.24999981243187;2913103.3;;;;
1.29999985665448;2919641.775;;;;
1.34999980816937;2915189.175;;;;
1.39999984562791;2923283.6;;;;
1.44999974780478;2928744.8;;;;
1.49999971523516;2940274;;;;
1.54999959473247;2951556.175;;;;
1.59999951799738;2965025.7;;;;
1.64999960797701;2978301.5;;;;
1.69999924436534;2991750.525;;;;
1.74999931962311;3004493.325;;;;
1.79999922856411;3017730.175;;;;
1.84999911880442;3030439.15;;;;
1.89999921594597;3043445.375;;;;
1.94999897806668;3056338.85;;;;
1.99999914284901;3068543.525;;;;
2.04999895828657;3080253.125;;;;
2.09999930052653;3090993.075;;;;
2.14999909567183;3100804.375;;;;
2.19999947730268;3109988.375;;;;
2.24999903570513;3118594.275;;;;
2.29999890445955;3126673.325;;;;
2.34999901154827;3134187.6;;;;
2.39999897141881;3141133;;;;
2.44999850157145;3147240.975;;;;
2.49999912750478;3152555.6;;;;
2.54999921151609;3157098.4;;;;
2.59999863742224;3160962.65;;;;
2.64999812619473;3164356.425;;;;
