Excitation Force 1.surge heading 90.0º phase
ω [rad/s];Fexₚₕ₁ tanker(Wm.o) [rad]
0.300000014666746;2.28638132011257
0.349999961406977;2.30383461263252
0.400000083217654;2.44346095279206
0.450000129429741;2.56563400043166
0.500000024444576;2.61799387799149
0.550000158191906;2.56563400043166
0.600000315812554;2.51327412287183
0.650000062813167;2.51327412287183
0.700000078785798;2.61799387799149
0.750000036666864;2.79252680319093
0.800000064576116;2.91469985083053
0.850000082140296;3.01941960595019
0.900000129943923;-3.08923277602996
0.950000182522204;-2.82743338823081
1.00000004888915;-2.60054058547155
1.0500000011998;-2.42600766027212
1.09999993122876;-2.23402144255274
1.14999987319435;-2.07694180987325
1.19999994407542;-1.95476876223365
1.24999981243187;-1.8151424220741
1.29999985665448;-1.6929693744345
1.34999980816937;-1.5707963267949
1.39999984562791;-1.44862327915529
1.44999974780478;-1.30899693899575
1.49999971523516;-1.1693705988362
1.54999959473247;-1.01229096615671
1.59999951799738;-0.820304748437335
1.64999960797701;-0.610865238198015
1.69999924436534;-0.331612557878923
1.74999931962311;0.0174532925199433
1.79999922856411;0.401425727958696
1.84999911880442;0.767944870877505
1.89999921594597;1.09955742875643
1.94999897806668;1.39626340159546
1.99999914284901;1.67551608191456
2.04999895828657;1.97222205475359
2.09999930052653;2.30383461263252
2.14999909567183;2.68780704807127
2.19999947730268;-3.12413936106985
2.24999903570513;-2.65290046303138
2.29999890445955;-2.2165681500328
2.34999901154827;-1.83259571459405
2.39999897141881;-1.50098315671512
2.44999850157145;-1.1693705988362
2.49999912750478;-0.837758040957278
2.54999921151609;-0.453785605518526
2.59999863742224;0
2.64999812619473;0.471238898038469
