Excitation Force 1.sway heading 90.0º phase
ω [rad/s];Fexₚₕ₂ tanker(Wm.o) [rad]
0.300000014666746;1.15191730631626
0.349999961406977;1.13446401379631
0.400000083217654;1.11701072127637
0.450000129429741;1.13446401379631
0.500000024444576;1.1693705988362
0.550000158191906;1.18682389135614
0.600000315812554;1.23918376891597
0.650000062813167;1.2915436464758
0.700000078785798;1.34390352403563
0.750000036666864;1.43116998663535
0.800000064576116;1.50098315671512
0.850000082140296;1.60570291183478
0.900000129943923;1.71042266695444
0.950000182522204;1.83259571459405
1.00000004888915;1.95476876223365
1.0500000011998;2.11184839491314
1.09999993122876;2.26892802759263
1.14999987319435;2.44346095279206
1.19999994407542;2.63544717051144
1.24999981243187;2.84488668075076
1.29999985665448;3.07177948351002
1.34999980816937;-2.9845130209103
1.39999984562791;-2.7401669256311
1.44999974780478;-2.47836753783195
1.49999971523516;-2.19911485751286
1.54999959473247;-1.91986217719376
1.59999951799738;-1.62315620435473
1.64999960797701;-1.30899693899575
1.69999924436534;-0.994837673636768
1.74999931962311;-0.680678408277788
1.79999922856411;-0.349065850398866
1.84999911880442;0
1.89999921594597;0.349065850398866
1.94999897806668;0.698131700797732
1.99999914284901;1.06465084371654
2.04999895828657;1.43116998663535
2.09999930052653;1.79768912955416
2.14999909567183;2.18166156499291
2.19999947730268;2.58308729295161
2.24999903570513;2.9845130209103
2.29999890445955;-2.87979326579064
2.34999901154827;-2.460914245312
2.39999897141881;-2.02458193231342
2.44999850157145;-1.5707963267949
2.49999912750478;-1.11701072127637
2.54999921151609;-0.645771823237902
2.59999863742224;-0.15707963267949
2.64999812619473;0.331612557878923
