Excitation Force 1.roll heading 90.0º phase
ω [rad/s];Fexₚₕ₄ tanker(Wm.o) [rad]
0.300000014666746;-1.97222205475359
0.349999961406977;-1.98967534727354
0.400000083217654;-1.98967534727354
0.450000129429741;-1.97222205475359
0.500000024444576;-1.95476876223365
0.550000158191906;-1.91986217719376
0.600000315812554;-1.86750229963393
0.650000062813167;-1.8151424220741
0.700000078785798;-1.74532925199433
0.750000036666864;-1.67551608191456
0.800000064576116;-1.5707963267949
0.850000082140296;-1.46607657167524
0.900000129943923;-1.36135681655558
0.950000182522204;-1.23918376891597
1.00000004888915;-1.08210413623648
1.0500000011998;-0.925024503556995
1.09999993122876;-0.733038285837618
1.14999987319435;-0.541052068118242
1.19999994407542;-0.349065850398866
1.24999981243187;-0.122173047639603
1.29999985665448;0.0872664625997165
1.34999980816937;0.314159265358979
1.39999984562791;0.558505360638185
1.44999974780478;0.785398163397448
1.49999971523516;1.02974425867665
1.54999959473247;1.25663706143592
1.59999951799738;1.48352986419518
1.64999960797701;1.6929693744345
1.69999924436534;1.90240888467382
1.74999931962311;2.11184839491314
1.79999922856411;2.32128790515246
1.84999911880442;2.54818070791172
1.89999921594597;2.79252680319093
1.94999897806668;3.05432619099008
1.99999914284901;-2.93215314335047
2.04999895828657;-2.58308729295161
2.09999930052653;-2.19911485751286
2.14999909567183;-1.78023583703422
2.19999947730268;-1.30899693899575
2.24999903570513;-0.820304748437335
2.29999890445955;-0.296705972839036
2.34999901154827;0.20943951023932
2.39999897141881;0.680678408277788
2.44999850157145;1.11701072127637
2.49999912750478;1.53588974175501
2.54999921151609;1.93731546971371
2.59999863742224;2.35619449019234
2.64999812619473;2.80998009571087
