Excitation Force 1.yaw heading 90.0º phase
ω [rad/s];Fexₚₕ₆ tanker(Wm.o) [rad]
0.300000014666746;-1.93731546971371
0.349999961406977;-1.88495559215388
0.400000083217654;-1.78023583703422
0.450000129429741;-1.64060949687467
0.500000024444576;-1.50098315671512
0.550000158191906;-1.27409035395586
0.600000315812554;-0.925024503556995
0.650000062813167;-0.628318530717959
0.700000078785798;-0.471238898038469
0.750000036666864;-0.331612557878923
0.800000064576116;-0.139626340159546
0.850000082140296;-0.0174532925199433
0.900000129943923;0.0523598775598299
0.950000182522204;0.15707963267949
1.00000004888915;0.261799387799149
1.0500000011998;0.349065850398866
1.09999993122876;0.471238898038469
1.14999987319435;0.575958653158129
1.19999994407542;0.698131700797732
1.24999981243187;0.820304748437335
1.29999985665448;0.959931088596881
1.34999980816937;1.09955742875643
1.39999984562791;1.25663706143592
1.44999974780478;1.43116998663535
1.49999971523516;1.60570291183478
1.54999959473247;1.79768912955416
1.59999951799738;2.00712863979348
1.64999960797701;2.23402144255274
1.69999924436534;2.47836753783195
1.74999931962311;2.7401669256311
1.79999922856411;3.01941960595019
1.84999911880442;-2.94960643587042
1.89999921594597;-2.61799387799149
1.94999897806668;-2.25147473507268
1.99999914284901;-1.88495559215388
2.04999895828657;-1.48352986419518
2.09999930052653;-1.08210413623648
2.14999909567183;-0.663225115757845
2.19999947730268;-0.244346095279206
2.24999903570513;0.191986217719376
2.29999890445955;0.610865238198015
2.34999901154827;1.02974425867665
2.39999897141881;1.43116998663535
2.44999850157145;1.85004900711399
2.49999912750478;2.26892802759263
2.54999921151609;2.68780704807127
2.59999863742224;3.12413936106985
2.64999812619473;-2.70526034059121
