Excitation Force 1.pitch heading 90.0º phase
ω [rad/s];Fexₚₕ₅ tanker(Wm.o) [rad]
0.300000014666746;0.401425727958696
0.349999961406977;0.471238898038469
0.400000083217654;0.541052068118242
0.450000129429741;0.628318530717959
0.500000024444576;0.715584993317675
0.550000158191906;0.802851455917391
0.600000315812554;0.890117918517108
0.650000062813167;0.994837673636768
0.700000078785798;1.09955742875643
0.750000036666864;1.22173047639603
0.800000064576116;1.36135681655558
0.850000082140296;1.50098315671512
0.900000129943923;1.67551608191456
0.950000182522204;1.86750229963393
1.00000004888915;2.07694180987325
1.0500000011998;2.32128790515246
1.09999993122876;2.60054058547155
1.14999987319435;2.89724655831059
1.19999994407542;-3.08923277602996
1.24999981243187;-2.79252680319093
1.29999985665448;-2.51327412287183
1.34999980816937;-2.25147473507268
1.39999984562791;-2.00712863979348
1.44999974780478;-1.76278254451427
1.49999971523516;-1.51843644923507
1.54999959473247;-1.27409035395586
1.59999951799738;-1.02974425867665
1.64999960797701;-0.785398163397448
1.69999924436534;-0.523598775598299
1.74999931962311;-0.261799387799149
1.79999922856411;0.0174532925199433
1.84999911880442;0.279252680319093
1.89999921594597;0.575958653158129
1.94999897806668;0.872664625997165
1.99999914284901;1.18682389135614
2.04999895828657;1.51843644923507
2.09999930052653;1.86750229963393
2.14999909567183;2.25147473507268
2.19999947730268;2.63544717051144
2.24999903570513;3.03687289847013
2.29999890445955;-2.82743338823081
2.34999901154827;-2.39110107523223
2.39999897141881;-1.97222205475359
2.44999850157145;-1.51843644923507
2.49999912750478;-1.08210413623648
2.54999921151609;-0.628318530717959
2.59999863742224;-0.174532925199433
2.64999812619473;0.279252680319093
