heading,line,cond_num,Hs,Tp,n_runs,static_kN,dyn_mean_kN,dyn_max_kN,dyn_std_kN
90deg,HL29,3,1.1700,4.6600,5,1204.7439,1162.2412,1474.1991,29.2750
90deg,HL29,4,1.5000,5.2800,5,1193.3036,1161.0276,1726.7882,33.7133
90deg,HL29,5,1.8300,5.8400,5,1178.0306,1175.5671,2086.6213,58.7830
90deg,HL29,6,2.1700,6.3400,5,1158.2511,1198.6902,3250.0619,361.7018
90deg,HL29,7,2.5000,6.8100,5,1134.5815,1231.3793,4629.2683,619.7596
135deg,HL7,1,0.5000,1.5000,5,1224.8876,1224.8769,1230.0459,0.6592
135deg,HL7,2,0.8300,1.9300,5,1221.5415,1221.3359,1233.7265,0.9182
135deg,HL7,3,1.1700,2.2900,5,1216.6486,1216.3543,1240.4344,1.9067
135deg,HL7,4,1.5000,2.5900,5,1210.5962,1210.3092,1248.5368,2.2879
135deg,HL7,5,1.8300,2.8700,5,1202.9924,1204.6342,1277.2815,9.0682
135deg,HL7,6,2.1700,3.1200,5,1194.2275,1207.1410,1323.5802,20.0526
135deg,HL7,7,2.5000,3.3500,5,1184.5354,1217.0041,1408.6791,28.1622
135deg,HL7,8,2.8300,3.5600,5,1173.1757,1219.3291,1486.0965,40.7712
135deg,HL7,9,3.1700,3.7700,5,1160.5041,1218.7836,1724.5746,70.1994
135deg,HL9,1,0.5000,1.7000,5,1224.7931,1224.8051,1229.8621,0.6094
135deg,HL9,2,0.8300,2.1900,5,1221.3414,1221.2288,1233.8759,0.8627
135deg,HL9,3,1.1700,2.5900,5,1216.3614,1216.1784,1240.4448,1.4188
135deg,HL9,4,1.5000,2.9400,5,1210.1968,1210.2653,1258.9977,6.3232
135deg,HL9,5,1.8300,3.2500,5,1202.5799,1204.3852,1282.1221,11.2192
135deg,HL9,6,2.1700,3.5300,5,1193.7326,1206.9539,1319.1126,12.3774
135deg,HL9,7,2.5000,3.8000,5,1183.9665,1216.1555,1394.9665,21.1124
135deg,HL9,8,2.8300,4.0400,5,1172.4600,1217.4578,1511.5037,39.3435
135deg,HL9,9,3.1700,4.2700,5,1159.6077,1217.2762,1641.9884,60.5929
135deg,HL11,1,0.5000,1.8800,5,1224.7484,1224.7648,1229.6288,0.3768
135deg,HL11,2,0.8300,2.4200,5,1221.2128,1221.1557,1234.3231,1.2592
135deg,HL11,3,1.1700,2.8700,5,1216.1505,1216.0624,1244.2056,2.1215
135deg,HL11,4,1.5000,3.2500,5,1209.9757,1210.1391,1259.4292,6.3564
135deg,HL11,5,1.8300,3.5900,5,1202.2963,1204.7184,1277.4889,6.9445
135deg,HL11,6,2.1700,3.9100,5,1193.3952,1208.1927,1321.5504,9.5870
135deg,HL11,7,2.5000,4.2000,5,1183.5339,1215.3296,1422.7700,32.7652
135deg,HL11,8,2.8300,4.4700,5,1171.8064,1215.7136,1527.5994,55.2404
135deg,HL11,9,3.1700,4.7200,5,1158.5960,1214.3706,1668.6623,73.4124
135deg,HL13,1,0.5000,2.0400,5,1224.6855,1224.7375,1229.5716,0.3488
135deg,HL13,2,0.8300,2.6300,5,1221.1366,1221.0971,1234.4302,0.8642
135deg,HL13,3,1.1700,3.1200,5,1216.0338,1215.9948,1247.4922,4.2182
135deg,HL13,4,1.5000,3.5300,5,1209.8279,1210.0970,1253.8130,2.8361
135deg,HL13,5,1.8300,3.9100,5,1202.0982,1204.7225,1280.7949,5.5670
135deg,HL13,6,2.1700,4.2500,5,1193.1204,1210.6349,1324.2474,9.4597
135deg,HL13,7,2.5000,4.5600,5,1183.0993,1214.1837,1440.5396,37.8818
135deg,HL13,8,2.8300,4.8600,5,1171.0457,1213.3981,1517.7921,52.6502
135deg,HL13,9,3.1700,5.1300,5,1157.4460,1209.1984,1685.0929,79.9611
135deg,HL15,1,0.5000,2.1900,5,1224.6450,1224.7167,1229.4023,0.2436
135deg,HL15,2,0.8300,2.8300,5,1221.0431,1221.0556,1236.0807,1.1968
135deg,HL15,3,1.1700,3.3500,5,1215.9492,1215.9417,1246.2087,3.0181
135deg,HL15,4,1.5000,3.8000,5,1209.7110,1209.9495,1259.0939,3.5786
135deg,HL15,5,1.8300,4.2000,5,1201.9300,1205.5668,1294.5359,11.1537
135deg,HL15,6,2.1700,4.5600,5,1192.8162,1210.1812,1340.5142,15.1921
135deg,HL15,7,2.5000,4.9000,5,1182.5621,1213.0968,1432.2138,33.4599
135deg,HL15,8,2.8300,5.2200,5,1170.1917,1209.3589,1528.9574,57.1982
135deg,HL15,9,3.1700,5.5200,5,1156.1765,1207.0062,1914.3659,173.9170
135deg,HL17,1,0.5000,2.3300,5,1224.6310,1224.7002,1229.6193,0.3047
135deg,HL17,2,0.8300,3.0100,5,1220.9925,1221.0289,1236.7145,1.5381
135deg,HL17,3,1.1700,3.5600,5,1215.8662,1215.8930,1245.3729,2.5655
135deg,HL17,4,1.5000,4.0400,5,1209.6067,1209.8319,1262.5196,4.9044
135deg,HL17,5,1.8300,4.4700,5,1201.7598,1205.7751,1294.8153,9.4558
135deg,HL17,6,2.1700,4.8600,5,1192.4485,1210.8510,1358.2856,18.7848
135deg,HL17,7,2.5000,5.2200,5,1181.9819,1209.8198,1425.6852,26.3720
135deg,HL17,8,2.8300,5.5500,5,1169.3155,1208.8128,1552.2446,62.0256
135deg,HL17,9,3.1700,5.8700,5,1155.9874,1206.7085,1891.4768,157.6125
135deg,HL19,1,0.5000,2.4700,5,1224.5913,1224.6847,1229.9072,0.5021
135deg,HL19,2,0.8300,3.1800,5,1220.9597,1221.0084,1237.7585,2.2068
135deg,HL19,3,1.1700,3.7700,5,1215.8139,1215.8479,1248.9559,3.4789
135deg,HL19,4,1.5000,4.2700,5,1209.1047,1208.8433,1270.8152,8.7271
135deg,HL19,5,1.8300,4.7200,5,1201.5504,1206.9502,1300.2818,10.7676
135deg,HL19,6,2.1700,5.1300,5,1192.0984,1209.8672,1356.1106,22.4237
135deg,HL19,7,2.5000,5.5200,5,1181.3495,1209.6042,1457.4279,36.9006
135deg,HL19,8,2.8300,5.8700,5,1168.3109,1206.1118,1623.5731,79.7082
135deg,HL19,9,3.1700,6.2100,5,1153.3154,1200.1248,2281.8123,272.7203
135deg,HL21,1,0.5000,2.5900,5,1224.5695,1224.6725,1229.8106,0.4155
135deg,HL21,2,0.8300,3.3500,5,1220.9283,1220.9893,1237.5362,1.6395
135deg,HL21,3,1.1700,3.9600,5,1215.7527,1215.8070,1251.7054,4.6691
135deg,HL21,4,1.5000,4.4900,5,1209.0093,1208.4016,1275.4515,8.6912
135deg,HL21,5,1.8300,4.9700,5,1201.3276,1207.6184,1315.2967,14.7209
135deg,HL21,6,2.1700,5.4000,5,1191.6776,1209.9317,1360.8691,12.1896
135deg,HL21,7,2.5000,5.8000,5,1180.7136,1208.1145,1465.0077,38.3501
135deg,HL21,8,2.8300,6.1700,5,1167.5713,1202.3941,1657.0464,71.5945
135deg,HL21,9,3.1700,6.5300,5,1151.8555,1198.9318,2655.0092,407.8208
135deg,HL23,1,0.5000,2.7100,5,1224.5681,1224.6622,1230.0603,0.4919
135deg,HL23,2,0.8300,3.5000,5,1220.9161,1220.9730,1237.5120,1.6494
135deg,HL23,3,1.1700,4.1500,5,1215.7192,1215.6933,1252.1775,4.1544
135deg,HL23,4,1.5000,4.7000,5,1208.9025,1207.5443,1267.7943,4.7676
135deg,HL23,5,1.8300,5.2000,5,1201.0864,1208.4492,1308.7729,5.3143
135deg,HL23,6,2.1700,5.6500,5,1191.2554,1209.7416,1358.9026,6.1030
135deg,HL23,7,2.5000,6.0700,5,1180.0066,1204.7810,1522.3784,45.0986
135deg,HL23,8,2.8300,6.4600,5,1166.5256,1200.0897,1757.1075,114.8631
135deg,HL23,9,3.1700,6.8300,5,1150.5634,1200.5264,2418.3950,286.4264
135deg,HL25,1,0.5000,2.8300,5,1224.5388,1224.6537,1230.5518,0.5154
135deg,HL25,2,0.8300,3.6500,5,1220.8951,1220.9568,1236.6620,1.1346
135deg,HL25,3,1.1700,4.3200,5,1215.6683,1215.1389,1252.4956,4.8427
135deg,HL25,4,1.5000,4.9000,5,1208.7669,1207.3370,1279.4893,9.2844
135deg,HL25,5,1.8300,5.4200,5,1200.8550,1208.8299,1317.2548,8.6802
135deg,HL25,6,2.1700,5.8900,5,1190.8200,1208.3541,1393.5253,19.1293
135deg,HL25,7,2.5000,6.3300,5,1179.2964,1202.2809,1557.0691,50.6049
135deg,HL25,8,2.8300,6.7400,5,1165.5629,1200.4398,1822.1821,115.0056
135deg,HL27,1,0.5000,2.9400,5,1224.5187,1224.6472,1231.1669,0.8492
135deg,HL27,2,0.8300,3.8000,5,1220.8642,1220.9409,1237.1042,1.0203
135deg,HL27,3,1.1700,4.4900,5,1215.6343,1214.8114,1259.1711,6.3982
135deg,HL27,4,1.5000,5.0900,5,1208.6503,1205.5191,1272.2661,5.6783
135deg,HL27,5,1.8300,5.6300,5,1200.6198,1208.7317,1317.8750,1.3402
135deg,HL27,6,2.1700,6.1200,5,1190.3552,1205.2366,1420.7278,28.4934
135deg,HL27,7,2.5000,6.5800,5,1178.6013,1201.5078,1569.6863,52.8563
135deg,HL29,1,0.5000,3.0500,5,1224.5074,1224.6419,1231.1990,0.7980
135deg,HL29,2,0.8300,3.9300,5,1220.8438,1220.9283,1239.9560,2.1644
135deg,HL29,3,1.1700,4.6600,5,1215.5633,1213.6851,1261.1062,5.0088
135deg,HL29,4,1.5000,5.2800,5,1208.5236,1205.5011,1281.5353,8.3670
135deg,HL29,5,1.8300,5.8400,5,1200.3444,1207.6284,1322.8474,3.7844
135deg,HL29,6,2.1700,6.3400,5,1189.8908,1203.2900,1425.1113,25.0946
135deg,HL29,7,2.5000,6.8100,5,1178.0175,1202.0240,1581.5141,50.5090
180deg,HL7,1,0.5000,1.5000,5,1218.1718,1218.4253,1219.4670,0.0798
180deg,HL7,2,0.8300,1.9300,5,1218.6003,1218.8310,1221.0242,0.2529
180deg,HL7,3,1.1700,2.2900,5,1218.9444,1219.1800,1222.8811,0.4155
180deg,HL7,4,1.5000,2.5900,5,1219.2125,1219.4192,1224.8879,0.7023
180deg,HL7,5,1.8300,2.8700,5,1219.3746,1218.2078,1224.3431,0.3201
180deg,HL7,6,2.1700,3.1200,5,1219.4788,1216.9427,1226.6786,1.3093
180deg,HL7,7,2.5000,3.3500,5,1220.5560,1219.9647,1235.3251,2.1834
180deg,HL7,8,2.8300,3.5600,5,1220.4678,1226.5293,1253.7950,5.7097
180deg,HL7,9,3.1700,3.7700,5,1219.5786,1232.9846,1270.8052,8.9029
180deg,HL9,1,0.5000,1.7000,5,1218.1720,1218.4266,1219.4835,0.0719
180deg,HL9,2,0.8300,2.1900,5,1218.6012,1218.8339,1221.0798,0.2572
180deg,HL9,3,1.1700,2.5900,5,1218.9459,1219.1848,1223.0025,0.4732
180deg,HL9,4,1.5000,2.9400,5,1219.2132,1219.4049,1225.0291,0.7947
180deg,HL9,5,1.8300,3.2500,5,1219.3941,1218.2200,1224.3510,0.3305
180deg,HL9,6,2.1700,3.5300,5,1219.5092,1216.9232,1227.2929,1.4559
180deg,HL9,7,2.5000,3.8000,5,1220.5672,1219.8386,1236.7083,3.0630
180deg,HL9,8,2.8300,4.0400,5,1220.4601,1227.1102,1253.8473,5.3949
180deg,HL9,9,3.1700,4.2700,5,1219.5894,1233.0352,1267.6829,7.0953
180deg,HL11,1,0.5000,1.8800,5,1218.1810,1218.4266,1219.4895,0.0760
180deg,HL11,2,0.8300,2.4200,5,1218.6015,1218.8356,1221.1451,0.2888
180deg,HL11,3,1.1700,2.8700,5,1218.9445,1219.1861,1223.1134,0.5584
180deg,HL11,4,1.5000,3.2500,5,1219.1850,1219.3770,1224.8669,0.7404
180deg,HL11,5,1.8300,3.5900,5,1219.3853,1218.1521,1224.7335,0.4613
180deg,HL11,6,2.1700,3.9100,5,1219.4910,1216.5174,1226.8224,1.3160
180deg,HL11,7,2.5000,4.2000,5,1220.5581,1220.2545,1236.8361,2.6021
180deg,HL11,8,2.8300,4.4700,5,1220.4694,1226.5282,1251.6217,4.6474
180deg,HL11,9,3.1700,4.7200,5,1219.5881,1232.1758,1262.0249,4.1918
180deg,HL13,1,0.5000,2.0400,5,1218.1716,1218.4265,1219.4974,0.0824
180deg,HL13,2,0.8300,2.6300,5,1218.5912,1218.8357,1221.1801,0.2816
180deg,HL13,3,1.1700,3.1200,5,1218.9354,1219.1882,1223.2564,0.6265
180deg,HL13,4,1.5000,3.5300,5,1219.1946,1219.3656,1225.0164,0.7550
180deg,HL13,5,1.8300,3.9100,5,1219.3855,1217.8952,1224.8486,0.4706
180deg,HL13,6,2.1700,4.2500,5,1219.4998,1216.0745,1225.7896,0.8427
180deg,HL13,7,2.5000,4.5600,5,1220.5576,1220.4698,1237.1253,3.0148
180deg,HL13,8,2.8300,4.8600,5,1220.4687,1225.9183,1249.0397,3.0324
180deg,HL13,9,3.1700,5.1300,5,1219.5538,1232.3579,1262.7597,2.5522
180deg,HL15,1,0.5000,2.1900,5,1218.1629,1218.4271,1219.5051,0.0875
180deg,HL15,2,0.8300,2.8300,5,1218.5913,1218.8359,1221.2564,0.3109
180deg,HL15,3,1.1700,3.3500,5,1218.9363,1219.1909,1223.3260,0.6470
180deg,HL15,4,1.5000,3.8000,5,1219.2145,1219.3741,1224.6194,0.5782
180deg,HL15,5,1.8300,4.2000,5,1219.3852,1217.4327,1224.6668,0.3855
180deg,HL15,6,2.1700,4.5600,5,1219.5100,1215.1242,1227.3163,1.0218
180deg,HL15,7,2.5000,4.9000,5,1220.5575,1220.9829,1240.9743,3.0941
180deg,HL15,8,2.8300,5.2200,5,1220.4458,1226.5486,1254.6140,2.0467
180deg,HL15,9,3.1700,5.5200,5,1219.4889,1232.4961,1273.5900,3.9448
180deg,HL17,1,0.5000,2.3300,5,1218.1906,1218.4271,1219.5235,0.0954
180deg,HL17,2,0.8300,3.0100,5,1218.5919,1218.8359,1221.2999,0.3257
180deg,HL17,3,1.1700,3.5600,5,1218.9267,1219.1938,1223.3443,0.6366
180deg,HL17,4,1.5000,4.0400,5,1219.2232,1219.3375,1224.9033,0.6222
180deg,HL17,5,1.8300,4.4700,5,1219.3854,1216.0899,1225.6184,0.7260
180deg,HL17,6,2.1700,4.8600,5,1219.4909,1214.6808,1229.5343,1.3049
180deg,HL17,7,2.5000,5.2200,5,1220.5549,1220.9053,1241.7115,1.5532
180deg,HL17,8,2.8300,5.5500,5,1220.4335,1226.6453,1261.7518,2.8746
180deg,HL17,9,3.1700,5.8700,5,1219.5052,1232.5902,1275.2686,2.3656
180deg,HL19,1,0.5000,2.4700,5,1218.1907,1218.4269,1219.5297,0.0999
180deg,HL19,2,0.8300,3.1800,5,1218.5914,1218.8357,1221.2543,0.3309
180deg,HL19,3,1.1700,3.7700,5,1218.9367,1219.1991,1223.0568,0.4630
180deg,HL19,4,1.5000,4.2700,5,1219.2235,1219.2213,1224.8043,0.4295
180deg,HL19,5,1.8300,4.7200,5,1219.3767,1214.3219,1225.7818,0.7903
180deg,HL19,6,2.1700,5.1300,5,1219.4898,1215.2493,1231.8623,1.6286
180deg,HL19,7,2.5000,5.5200,5,1220.5435,1221.2713,1250.3364,2.2556
180deg,HL19,8,2.8300,5.8700,5,1220.4210,1226.9891,1270.5311,3.1173
180deg,HL19,9,3.1700,6.2100,5,1219.3419,1233.4876,1302.3782,6.5391
180deg,HL21,1,0.5000,2.5900,5,1218.1616,1218.4267,1219.5434,0.1066
180deg,HL21,2,0.8300,3.3500,5,1218.5914,1218.8363,1221.3598,0.3626
180deg,HL21,3,1.1700,3.9600,5,1218.9451,1219.2058,1223.3788,0.5945
180deg,HL21,4,1.5000,4.4900,5,1219.2240,1218.7384,1224.6401,0.4518
180deg,HL21,5,1.8300,4.9700,5,1219.3853,1211.5218,1226.9087,0.9949
180deg,HL21,6,2.1700,5.4000,5,1219.4793,1216.4549,1237.6155,1.7912
180deg,HL21,7,2.5000,5.8000,5,1220.5326,1221.7212,1255.2494,1.9423
180deg,HL21,8,2.8300,6.1700,5,1220.4050,1227.4041,1284.4744,5.5054
180deg,HL21,9,3.1700,6.5300,5,1219.2716,1234.3815,1316.5434,5.1576
180deg,HL23,1,0.5000,2.7100,5,1218.1626,1218.4270,1219.5654,0.1147
180deg,HL23,2,0.8300,3.5000,5,1218.5911,1218.8372,1221.2382,0.3138
180deg,HL23,3,1.1700,4.1500,5,1218.9451,1219.2148,1223.3204,0.4788
180deg,HL23,4,1.5000,4.7000,5,1219.2231,1217.3424,1224.8933,0.3746
180deg,HL23,5,1.8300,5.2000,5,1219.3852,1210.2821,1227.1424,0.8753
180deg,HL23,6,2.1700,5.6500,5,1219.4768,1216.6119,1243.9247,3.1793
180deg,HL23,7,2.5000,6.0700,5,1220.5294,1221.9842,1267.8417,4.8181
180deg,HL23,8,2.8300,6.4600,5,1219.8285,1228.1681,1288.4980,1.9902
180deg,HL23,9,3.1700,6.8300,5,1219.1800,1235.5802,1335.6543,6.3068
180deg,HL25,1,0.5000,2.8300,5,1218.1623,1218.4265,1219.5826,0.1242
180deg,HL25,2,0.8300,3.6500,5,1218.6009,1218.8388,1221.1900,0.2635
180deg,HL25,3,1.1700,4.3200,5,1218.9451,1219.2040,1223.1930,0.3605
180deg,HL25,4,1.5000,4.9000,5,1219.2048,1214.9319,1225.1447,0.4501
180deg,HL25,5,1.8300,5.4200,5,1219.3937,1209.8759,1230.6128,1.8422
180deg,HL25,6,2.1700,5.8900,5,1219.4950,1217.0891,1250.1485,3.2189
180deg,HL25,7,2.5000,6.3300,5,1220.4973,1222.3939,1270.7610,2.6799
180deg,HL25,8,2.8300,6.7400,5,1219.7828,1228.9797,1299.1758,2.7920
180deg,HL27,1,0.5000,2.9400,5,1218.1629,1218.4271,1219.5827,0.1218
180deg,HL27,2,0.8300,3.8000,5,1218.5817,1218.8411,1221.2237,0.2561
180deg,HL27,3,1.1700,4.4900,5,1218.9451,1219.1417,1223.6125,0.4078
180deg,HL27,4,1.5000,5.0900,5,1219.2133,1211.6563,1225.1851,0.4707
180deg,HL27,5,1.8300,5.6300,5,1219.3846,1210.8589,1233.6886,1.9315
180deg,HL27,6,2.1700,6.1200,5,1219.4654,1217.3674,1257.1887,4.0493
180deg,HL27,7,2.5000,6.5800,5,1220.4941,1222.9381,1277.4115,2.7640
180deg,HL29,1,0.5000,3.0500,5,1218.1629,1218.4269,1219.5991,0.1374
180deg,HL29,2,0.8300,3.9300,5,1218.5820,1218.8439,1221.3935,0.3235
180deg,HL29,3,1.1700,4.6600,5,1218.9269,1218.8322,1224.0945,0.3952
180deg,HL29,4,1.5000,5.2800,5,1219.1947,1208.8025,1226.5706,0.7218
180deg,HL29,5,1.8300,5.8400,5,1219.3927,1211.8031,1237.2285,1.4880
180deg,HL29,6,2.1700,6.3400,5,1219.4635,1217.6372,1256.6254,2.5649
180deg,HL29,7,2.5000,6.8100,5,1220.4807,1223.5442,1283.5951,2.1907
