heading,line,cond_num,Hs,Tp,n_runs,static_kN,dyn_mean_kN,dyn_max_kN,dyn_std_kN
0deg,HL19,7,2.5000,5.5200,5,1204.1108,1147.1467,1230.7830,8.3919
0deg,HL19,8,2.8300,5.8700,5,1198.1916,1143.2395,1510.1565,125.6397
0deg,HL19,9,3.1700,6.2100,5,1190.6662,1143.8495,1917.8614,230.2865
0deg,HL21,1,0.5000,2.5900,5,1216.6077,1216.9050,1218.2672,0.1335
0deg,HL21,2,0.8300,3.3500,5,1215.7895,1215.9780,1219.1768,0.2241
0deg,HL21,3,1.1700,3.9600,5,1214.5983,1205.1176,1219.8318,0.8899
0deg,HL21,4,1.5000,4.4900,5,1213.1004,1175.4063,1219.1805,2.2079
0deg,HL21,5,1.8300,4.9700,5,1211.1422,1161.6123,1219.4464,1.7614
0deg,HL21,6,2.1700,5.4000,5,1208.7777,1154.0537,1217.4687,3.4036
0deg,HL21,7,2.5000,5.8000,5,1204.3694,1148.4838,1261.9326,23.0404
0deg,HL21,8,2.8300,6.1700,5,1198.5541,1144.6720,1522.9067,122.2597
0deg,HL21,9,3.1700,6.5300,5,1191.1527,1145.4536,1917.6234,226.4134
0deg,HL23,1,0.5000,2.7100,5,1216.6076,1216.9043,1218.3315,0.1609
0deg,HL23,2,0.8300,3.5000,5,1215.7898,1216.0031,1219.4109,0.2748
0deg,HL23,3,1.1700,4.1500,5,1214.6169,1204.4846,1219.8368,0.6509
0deg,HL23,4,1.5000,4.7000,5,1213.1114,1174.2396,1218.4379,1.5635
0deg,HL23,5,1.8300,5.2000,5,1211.2050,1161.9963,1220.0711,3.6134
0deg,HL23,6,2.1700,5.6500,5,1208.8727,1154.7578,1217.5856,3.3291
0deg,HL23,7,2.5000,6.0700,5,1204.6092,1149.5993,1268.1773,25.6468
0deg,HL23,8,2.8300,6.4600,5,1198.9155,1145.9752,1521.5481,120.8643
0deg,HL23,9,3.1700,6.8300,5,1191.6164,1147.1917,1887.5293,208.0576
0deg,HL25,1,0.5000,2.8300,5,1216.6261,1216.9038,1218.3651,0.1601
0deg,HL25,2,0.8300,3.6500,5,1215.7803,1216.0357,1219.2516,0.2030
