heading,line,cond_num,Hs,Tp,dof,static_val,dyn_mean,dyn_max,dyn_std
0deg,HL9,2,0.8300,2.1900,sway,-17.9660,-17.9660,-17.9647,0.0001
0deg,HL9,2,0.8300,2.1900,heave,0.0016,0.0008,0.0016,0.0000
0deg,HL9,2,0.8300,2.1900,roll,-0.1198,-0.1187,-0.1116,0.0004
0deg,HL9,2,0.8300,2.1900,pitch,-0.0003,-0.0001,0.0008,0.0001
0deg,HL9,2,0.8300,2.1900,yaw,-0.0007,-0.0006,0.0041,0.0005
0deg,HL9,3,1.1700,2.5900,surge,4.8100,4.8255,4.8659,0.0057
0deg,HL9,3,1.1700,2.5900,sway,-17.9660,-17.9672,-17.9645,0.0003
0deg,HL9,3,1.1700,2.5900,heave,0.0016,0.0004,0.0016,0.0000
0deg,HL9,3,1.1700,2.5900,roll,-0.1222,-0.1411,-0.1112,0.0012
0deg,HL9,3,1.1700,2.5900,pitch,-0.0003,-0.0001,0.0014,0.0001
0deg,HL9,3,1.1700,2.5900,yaw,-0.0001,-0.0006,0.0073,0.0007
0deg,HL9,4,1.5000,2.9400,surge,4.8147,4.9092,5.0250,0.0246
0deg,HL9,4,1.5000,2.9400,sway,-17.9660,-17.9707,-17.9646,0.0002
0deg,HL9,4,1.5000,2.9400,heave,0.0016,-0.0006,0.0022,0.0003
0deg,HL9,4,1.5000,2.9400,roll,-0.1257,-0.1982,-0.1133,0.0016
0deg,HL9,4,1.5000,2.9400,pitch,-0.0003,-0.0001,0.0030,0.0003
0deg,HL9,4,1.5000,2.9400,yaw,0.0005,-0.0030,0.0096,0.0011
0deg,HL9,5,1.8300,3.2500,surge,4.8221,4.9814,5.1579,0.0493
0deg,HL9,5,1.8300,3.2500,sway,-17.9660,-17.9724,-17.9648,0.0003
0deg,HL9,5,1.8300,3.2500,heave,0.0003,-0.0011,0.0027,0.0003
0deg,HL9,5,1.8300,3.2500,roll,-0.1280,-0.2260,-0.1158,0.0033
0deg,HL9,5,1.8300,3.2500,pitch,-0.0001,-0.0001,0.0048,0.0002
0deg,HL9,5,1.8300,3.2500,yaw,0.0014,-0.0048,0.0125,0.0016
0deg,HL9,6,2.1700,3.5300,surge,4.8289,5.0379,5.3311,0.0773
0deg,HL9,6,2.1700,3.5300,sway,-17.9670,-17.9729,-17.9653,0.0006
0deg,HL9,6,2.1700,3.5300,heave,0.0010,-0.0012,0.0067,0.0016
0deg,HL9,6,2.1700,3.5300,roll,-0.1374,-0.2312,-0.1233,0.0064
0deg,HL9,6,2.1700,3.5300,pitch,-0.0004,-0.0002,0.0115,0.0022
0deg,HL9,6,2.1700,3.5300,yaw,0.0019,-0.0060,0.0128,0.0014
0deg,HL9,7,2.5000,3.8000,surge,4.8402,5.0924,5.6635,0.1616
0deg,HL9,7,2.5000,3.8000,sway,-17.9670,-17.9731,-17.9657,0.0006
0deg,HL9,7,2.5000,3.8000,heave,0.0007,-0.0012,0.0053,0.0004
0deg,HL9,7,2.5000,3.8000,roll,-0.1507,-0.2336,-0.1384,0.0039
0deg,HL9,7,2.5000,3.8000,pitch,-0.0005,-0.0003,0.0130,0.0006
0deg,HL9,7,2.5000,3.8000,yaw,0.0028,-0.0070,0.0153,0.0016
0deg,HL9,8,2.8300,4.0400,surge,4.8585,5.1531,5.9500,0.2418
0deg,HL9,8,2.8300,4.0400,sway,-17.9680,-17.9734,-17.9664,0.0006
0deg,HL9,8,2.8300,4.0400,heave,0.0003,-0.0012,0.0084,0.0004
0deg,HL9,8,2.8300,4.0400,roll,-0.1666,-0.2349,-0.1406,0.0101
0deg,HL9,8,2.8300,4.0400,pitch,-0.0004,-0.0004,0.0194,0.0007
0deg,HL9,8,2.8300,4.0400,yaw,0.0036,-0.0083,0.0154,0.0012
0deg,HL9,9,3.1700,4.2700,surge,4.8880,5.2258,6.2754,0.2883
0deg,HL9,9,3.1700,4.2700,sway,-17.9690,-17.9736,-17.9645,0.0007
0deg,HL9,9,3.1700,4.2700,heave,0.0001,-0.0012,0.0140,0.0007
0deg,HL9,9,3.1700,4.2700,roll,-0.1842,-0.2375,-0.1528,0.0154
0deg,HL9,9,3.1700,4.2700,pitch,-0.0003,-0.0004,0.0301,0.0019
0deg,HL9,9,3.1700,4.2700,yaw,0.0044,-0.0100,0.0152,0.0013
0deg,HL11,1,0.5000,1.8800,surge,4.8028,4.8030,4.8087,0.0008
0deg,HL11,1,0.5000,1.8800,sway,-17.9660,-17.9660,-17.9653,0.0001
0deg,HL11,1,0.5000,1.8800,heave,0.0016,0.0008,0.0016,0.0000
0deg,HL11,1,0.5000,1.8800,roll,-0.1184,-0.1174,-0.1135,0.0002
0deg,HL11,1,0.5000,1.8800,pitch,-0.0002,-0.0001,0.0002,0.0000
0deg,HL11,1,0.5000,1.8800,yaw,-0.0012,-0.0012,0.0007,0.0001
0deg,HL11,2,0.8300,2.4200,surge,4.8061,4.8063,4.8221,0.0020
0deg,HL11,2,0.8300,2.4200,sway,-17.9660,-17.9660,-17.9647,0.0001
0deg,HL11,2,0.8300,2.4200,heave,0.0016,0.0008,0.0016,0.0000
0deg,HL11,2,0.8300,2.4200,roll,-0.1198,-0.1187,-0.1116,0.0004
0deg,HL11,2,0.8300,2.4200,pitch,-0.0003,-0.0001,0.0008,0.0001
0deg,HL11,2,0.8300,2.4200,yaw,-0.0007,-0.0006,0.0038,0.0003
0deg,HL11,3,1.1700,2.8700,surge,4.8101,4.8272,4.8745,0.0096
0deg,HL11,3,1.1700,2.8700,sway,-17.9660,-17.9673,-17.9644,0.0004
0deg,HL11,3,1.1700,2.8700,heave,0.0016,0.0004,0.0018,0.0001
0deg,HL11,3,1.1700,2.8700,roll,-0.1222,-0.1428,-0.1112,0.0013
0deg,HL11,3,1.1700,2.8700,pitch,-0.0003,-0.0001,0.0018,0.0001
0deg,HL11,3,1.1700,2.8700,yaw,-0.0001,-0.0006,0.0077,0.0008
0deg,HL11,4,1.5000,3.2500,surge,4.8147,4.9127,5.0351,0.0298
0deg,HL11,4,1.5000,3.2500,sway,-17.9660,-17.9708,-17.9649,0.0001
0deg,HL11,4,1.5000,3.2500,heave,0.0016,-0.0007,0.0023,0.0002
0deg,HL11,4,1.5000,3.2500,roll,-0.1257,-0.2000,-0.1140,0.0011
0deg,HL11,4,1.5000,3.2500,pitch,-0.0003,-0.0001,0.0042,0.0003
0deg,HL11,4,1.5000,3.2500,yaw,0.0005,-0.0031,0.0095,0.0010
0deg,HL11,5,1.8300,3.5900,surge,4.8220,4.9817,5.1549,0.0452
0deg,HL11,5,1.8300,3.5900,sway,-17.9660,-17.9725,-17.9650,0.0006
0deg,HL11,5,1.8300,3.5900,heave,0.0003,-0.0011,0.0059,0.0013
0deg,HL11,5,1.8300,3.5900,roll,-0.1279,-0.2271,-0.1151,0.0055
0deg,HL11,5,1.8300,3.5900,pitch,-0.0001,-0.0001,0.0093,0.0011
0deg,HL11,5,1.8300,3.5900,yaw,0.0014,-0.0049,0.0116,0.0010
0deg,HL11,6,2.1700,3.9100,surge,4.8286,5.0350,5.3208,0.0748
0deg,HL11,6,2.1700,3.9100,sway,-17.9670,-17.9729,-17.9656,0.0005
0deg,HL11,6,2.1700,3.9100,heave,0.0010,-0.0012,0.0061,0.0006
0deg,HL11,6,2.1700,3.9100,roll,-0.1371,-0.2326,-0.1178,0.0069
0deg,HL11,6,2.1700,3.9100,pitch,-0.0004,-0.0002,0.0133,0.0008
0deg,HL11,6,2.1700,3.9100,yaw,0.0019,-0.0059,0.0121,0.0008
0deg,HL11,7,2.5000,4.2000,surge,4.8396,5.0888,5.6137,0.1660
0deg,HL11,7,2.5000,4.2000,sway,-17.9670,-17.9732,-17.9651,0.0009
0deg,HL11,7,2.5000,4.2000,heave,0.0007,-0.0013,0.0096,0.0005
0deg,HL11,7,2.5000,4.2000,roll,-0.1502,-0.2355,-0.1240,0.0133
0deg,HL11,7,2.5000,4.2000,pitch,-0.0005,-0.0003,0.0213,0.0011
0deg,HL11,7,2.5000,4.2000,yaw,0.0027,-0.0069,0.0174,0.0024
0deg,HL11,8,2.8300,4.4700,surge,4.8575,5.1454,5.9069,0.1876
0deg,HL11,8,2.8300,4.4700,sway,-17.9680,-17.9735,-17.9671,0.0003
0deg,HL11,8,2.8300,4.4700,heave,0.0004,-0.0013,0.0151,0.0006
0deg,HL11,8,2.8300,4.4700,roll,-0.1659,-0.2379,-0.1573,0.0037
0deg,HL11,8,2.8300,4.4700,pitch,-0.0004,-0.0004,0.0315,0.0014
0deg,HL11,8,2.8300,4.4700,yaw,0.0036,-0.0080,0.0152,0.0014
0deg,HL11,9,3.1700,4.7200,surge,4.8862,5.2090,6.3585,0.2388
0deg,HL11,9,3.1700,4.7200,sway,-17.9690,-17.9736,-17.9651,0.0005
0deg,HL11,9,3.1700,4.7200,heave,0.0001,-0.0013,0.0228,0.0012
0deg,HL11,9,3.1700,4.7200,roll,-0.1833,-0.2387,-0.1593,0.0068
0deg,HL11,9,3.1700,4.7200,pitch,-0.0003,-0.0004,0.0493,0.0031
0deg,HL11,9,3.1700,4.7200,yaw,0.0044,-0.0093,0.0155,0.0016
0deg,HL13,1,0.5000,2.0400,surge,4.8029,4.8030,4.8091,0.0011
0deg,HL13,1,0.5000,2.0400,sway,-17.9660,-17.9660,-17.9653,0.0001
0deg,HL13,1,0.5000,2.0400,heave,0.0016,0.0008,0.0016,0.0000
0deg,HL13,1,0.5000,2.0400,roll,-0.1184,-0.1174,-0.1135,0.0002
0deg,HL13,1,0.5000,2.0400,pitch,-0.0002,-0.0001,0.0002,0.0000
0deg,HL13,1,0.5000,2.0400,yaw,-0.0012,-0.0012,0.0007,0.0001
0deg,HL13,2,0.8300,2.6300,surge,4.8061,4.8064,4.8229,0.0022
0deg,HL13,2,0.8300,2.6300,sway,-17.9660,-17.9660,-17.9647,0.0001
0deg,HL13,2,0.8300,2.6300,heave,0.0016,0.0008,0.0016,0.0000
0deg,HL13,2,0.8300,2.6300,roll,-0.1198,-0.1187,-0.1115,0.0004
0deg,HL13,2,0.8300,2.6300,pitch,-0.0003,-0.0001,0.0008,0.0001
0deg,HL13,2,0.8300,2.6300,yaw,-0.0007,-0.0006,0.0039,0.0002
0deg,HL13,3,1.1700,3.1200,surge,4.8101,4.8282,4.8795,0.0127
0deg,HL13,3,1.1700,3.1200,sway,-17.9660,-17.9674,-17.9644,0.0004
0deg,HL13,3,1.1700,3.1200,heave,0.0016,0.0004,0.0020,0.0001
0deg,HL13,3,1.1700,3.1200,roll,-0.1222,-0.1437,-0.1112,0.0012
0deg,HL13,3,1.1700,3.1200,pitch,-0.0003,-0.0001,0.0024,0.0002
0deg,HL13,3,1.1700,3.1200,yaw,-0.0001,-0.0007,0.0078,0.0008
0deg,HL13,4,1.5000,3.5300,surge,4.8147,4.9149,5.0393,0.0287
0deg,HL13,4,1.5000,3.5300,sway,-17.9660,-17.9709,-17.9648,0.0002
0deg,HL13,4,1.5000,3.5300,heave,0.0016,-0.0007,0.0049,0.0010
0deg,HL13,4,1.5000,3.5300,roll,-0.1257,-0.2021,-0.1150,0.0044
0deg,HL13,4,1.5000,3.5300,pitch,-0.0003,-0.0001,0.0080,0.0014
0deg,HL13,4,1.5000,3.5300,yaw,0.0005,-0.0032,0.0098,0.0009
0deg,HL13,5,1.8300,3.9100,surge,4.8219,4.9782,5.1593,0.0494
0deg,HL13,5,1.8300,3.9100,sway,-17.9660,-17.9725,-17.9653,0.0004
0deg,HL13,5,1.8300,3.9100,heave,0.0003,-0.0012,0.0056,0.0006
0deg,HL13,5,1.8300,3.9100,roll,-0.1278,-0.2283,-0.1142,0.0036
0deg,HL13,5,1.8300,3.9100,pitch,-0.0001,-0.0002,0.0114,0.0006
0deg,HL13,5,1.8300,3.9100,yaw,0.0014,-0.0047,0.0118,0.0009
0deg,HL13,6,2.1700,4.2500,surge,4.8284,5.0315,5.3189,0.0819
0deg,HL13,6,2.1700,4.2500,sway,-17.9670,-17.9731,-17.9647,0.0008
0deg,HL13,6,2.1700,4.2500,heave,0.0010,-0.0013,0.0085,0.0004
0deg,HL13,6,2.1700,4.2500,roll,-0.1369,-0.2352,-0.1154,0.0114
0deg,HL13,6,2.1700,4.2500,pitch,-0.0004,-0.0002,0.0196,0.0010
0deg,HL13,6,2.1700,4.2500,yaw,0.0019,-0.0058,0.0134,0.0013
0deg,HL13,7,2.5000,4.5600,surge,4.8392,5.0839,5.5852,0.1314
0deg,HL13,7,2.5000,4.5600,sway,-17.9670,-17.9733,-17.9658,0.0006
0deg,HL13,7,2.5000,4.5600,heave,0.0007,-0.0013,0.0155,0.0012
0deg,HL13,7,2.5000,4.5600,roll,-0.1497,-0.2379,-0.1345,0.0061
0deg,HL13,7,2.5000,4.5600,pitch,-0.0005,-0.0003,0.0311,0.0018
0deg,HL13,7,2.5000,4.5600,yaw,0.0027,-0.0067,0.0175,0.0027
0deg,HL13,8,2.8300,4.8600,surge,4.8566,5.1328,5.9567,0.1930
0deg,HL13,8,2.8300,4.8600,sway,-17.9680,-17.9734,-17.9657,0.0008
0deg,HL13,8,2.8300,4.8600,heave,0.0004,-0.0013,0.0228,0.0011
0deg,HL13,8,2.8300,4.8600,roll,-0.1652,-0.2377,-0.1416,0.0068
0deg,HL13,8,2.8300,4.8600,pitch,-0.0004,-0.0003,0.0484,0.0019
0deg,HL13,8,2.8300,4.8600,yaw,0.0036,-0.0075,0.0151,0.0016
0deg,HL13,9,3.1700,5.1300,surge,4.8840,5.1927,6.3888,0.3131
0deg,HL13,9,3.1700,5.1300,sway,-17.9690,-17.9734,-17.9649,0.0009
0deg,HL13,9,3.1700,5.1300,heave,0.0001,-0.0013,0.0342,0.0024
0deg,HL13,9,3.1700,5.1300,roll,-0.1822,-0.2373,-0.1526,0.0048
0deg,HL13,9,3.1700,5.1300,pitch,-0.0003,-0.0004,0.0716,0.0056
0deg,HL13,9,3.1700,5.1300,yaw,0.0043,-0.0087,0.0134,0.0012
0deg,HL15,1,0.5000,2.1900,surge,4.8029,4.8030,4.8092,0.0009
0deg,HL15,1,0.5000,2.1900,sway,-17.9660,-17.9660,-17.9653,0.0001
0deg,HL15,1,0.5000,2.1900,heave,0.0016,0.0008,0.0016,0.0000
0deg,HL15,1,0.5000,2.1900,roll,-0.1184,-0.1174,-0.1135,0.0002
0deg,HL15,1,0.5000,2.1900,pitch,-0.0002,-0.0001,0.0003,0.0000
0deg,HL15,1,0.5000,2.1900,yaw,-0.0012,-0.0012,0.0007,0.0001
0deg,HL15,2,0.8300,2.8300,surge,4.8061,4.8064,4.8241,0.0027
0deg,HL15,2,0.8300,2.8300,sway,-17.9660,-17.9660,-17.9647,0.0001
0deg,HL15,2,0.8300,2.8300,heave,0.0016,0.0008,0.0016,0.0000
0deg,HL15,2,0.8300,2.8300,roll,-0.1198,-0.1188,-0.1115,0.0004
0deg,HL15,2,0.8300,2.8300,pitch,-0.0003,-0.0001,0.0011,0.0001
0deg,HL15,2,0.8300,2.8300,yaw,-0.0007,-0.0006,0.0043,0.0003
0deg,HL15,3,1.1700,3.3500,surge,4.8101,4.8293,4.8859,0.0145
0deg,HL15,3,1.1700,3.3500,sway,-17.9660,-17.9675,-17.9643,0.0004
0deg,HL15,3,1.1700,3.3500,heave,0.0016,0.0004,0.0023,0.0001
0deg,HL15,3,1.1700,3.3500,roll,-0.1222,-0.1448,-0.1117,0.0011
0deg,HL15,3,1.1700,3.3500,pitch,-0.0003,-0.0001,0.0035,0.0002
0deg,HL15,3,1.1700,3.3500,yaw,-0.0001,-0.0007,0.0083,0.0007
0deg,HL15,4,1.5000,3.8000,surge,4.8146,4.9150,5.0277,0.0267
0deg,HL15,4,1.5000,3.8000,sway,-17.9660,-17.9709,-17.9649,0.0002
0deg,HL15,4,1.5000,3.8000,heave,0.0016,-0.0007,0.0041,0.0003
0deg,HL15,4,1.5000,3.8000,roll,-0.1257,-0.2027,-0.1132,0.0014
0deg,HL15,4,1.5000,3.8000,pitch,-0.0003,-0.0001,0.0079,0.0005
0deg,HL15,4,1.5000,3.8000,yaw,0.0005,-0.0032,0.0098,0.0007
0deg,HL15,5,1.8300,4.2000,surge,4.8200,4.9767,5.1261,0.0373
0deg,HL15,5,1.8300,4.2000,sway,-17.9660,-17.9727,-17.9647,0.0006
0deg,HL15,5,1.8300,4.2000,heave,0.0015,-0.0012,0.0073,0.0006
0deg,HL15,5,1.8300,4.2000,roll,-0.1305,-0.2307,-0.1075,0.0107
0deg,HL15,5,1.8300,4.2000,pitch,-0.0004,-0.0002,0.0158,0.0009
0deg,HL15,5,1.8300,4.2000,yaw,0.0012,-0.0047,0.0129,0.0015
0deg,HL15,6,2.1700,4.5600,surge,4.8298,5.0291,5.3175,0.0709
0deg,HL15,6,2.1700,4.5600,sway,-17.9670,-17.9731,-17.9648,0.0008
0deg,HL15,6,2.1700,4.5600,heave,0.0002,-0.0013,0.0129,0.0009
0deg,HL15,6,2.1700,4.5600,roll,-0.1356,-0.2365,-0.1236,0.0061
0deg,HL15,6,2.1700,4.5600,pitch,-0.0001,-0.0002,0.0270,0.0016
0deg,HL15,6,2.1700,4.5600,yaw,0.0022,-0.0057,0.0146,0.0019
0deg,HL15,7,2.5000,4.9000,surge,4.8387,5.0749,5.6078,0.1270
0deg,HL15,7,2.5000,4.9000,sway,-17.9670,-17.9733,-17.9663,0.0005
0deg,HL15,7,2.5000,4.9000,heave,0.0007,-0.0013,0.0217,0.0017
0deg,HL15,7,2.5000,4.9000,roll,-0.1492,-0.2374,-0.1286,0.0057
0deg,HL15,7,2.5000,4.9000,pitch,-0.0005,-0.0003,0.0464,0.0040
0deg,HL15,7,2.5000,4.9000,yaw,0.0027,-0.0064,0.0171,0.0025
0deg,HL15,8,2.8300,5.2200,surge,4.8554,5.1211,5.9240,0.2172
0deg,HL15,8,2.8300,5.2200,sway,-17.9680,-17.9733,-17.9662,0.0005
0deg,HL15,8,2.8300,5.2200,heave,0.0004,-0.0013,0.0328,0.0023
0deg,HL15,8,2.8300,5.2200,roll,-0.1644,-0.2368,-0.1367,0.0109
0deg,HL15,8,2.8300,5.2200,pitch,-0.0004,-0.0003,0.0673,0.0039
0deg,HL15,8,2.8300,5.2200,yaw,0.0035,-0.0071,0.0140,0.0013
0deg,HL15,9,3.1700,5.5200,surge,4.8814,5.1796,6.7228,0.4168
0deg,HL15,9,3.1700,5.5200,sway,-17.9690,-17.9733,-17.9621,0.0016
0deg,HL15,9,3.1700,5.5200,heave,0.0001,-0.0012,0.0490,0.0036
0deg,HL15,9,3.1700,5.5200,roll,-0.1808,-0.2357,-0.1439,0.0023
0deg,HL15,9,3.1700,5.5200,pitch,-0.0003,-0.0004,0.1000,0.0058
0deg,HL15,9,3.1700,5.5200,yaw,0.0043,-0.0083,0.0150,0.0023
0deg,HL17,1,0.5000,2.3300,surge,4.8029,4.8030,4.8092,0.0008
0deg,HL17,1,0.5000,2.3300,sway,-17.9660,-17.9660,-17.9653,0.0001
0deg,HL17,1,0.5000,2.3300,heave,0.0016,0.0008,0.0016,0.0000
0deg,HL17,1,0.5000,2.3300,roll,-0.1184,-0.1174,-0.1134,0.0003
0deg,HL17,1,0.5000,2.3300,pitch,-0.0002,-0.0001,0.0003,0.0000
0deg,HL17,1,0.5000,2.3300,yaw,-0.0012,-0.0012,0.0008,0.0001
0deg,HL17,2,0.8300,3.0100,surge,4.8061,4.8065,4.8260,0.0034
0deg,HL17,2,0.8300,3.0100,sway,-17.9660,-17.9660,-17.9648,0.0001
0deg,HL17,2,0.8300,3.0100,heave,0.0016,0.0008,0.0017,0.0000
0deg,HL17,2,0.8300,3.0100,roll,-0.1198,-0.1190,-0.1116,0.0004
