heading,line,cond_num,Hs,Tp,dof,static_val,dyn_mean,dyn_max,dyn_std
45deg,HL11,3,1.1700,2.8700,surge,4.8061,4.8063,4.8263,0.0015
45deg,HL11,3,1.1700,2.8700,sway,-17.9490,-17.9486,-17.9157,0.0022
45deg,HL11,3,1.1700,2.8700,heave,0.0003,-0.0004,0.0028,0.0003
45deg,HL11,3,1.1700,2.8700,roll,-0.0232,-0.0209,0.0350,0.0030
45deg,HL11,3,1.1700,2.8700,pitch,-0.0001,-0.0000,0.0013,0.0001
45deg,HL11,3,1.1700,2.8700,yaw,-0.0065,-0.0064,-0.0015,0.0002
45deg,HL11,4,1.5000,3.2500,surge,4.8083,4.8095,4.8420,0.0037
45deg,HL11,4,1.5000,3.2500,sway,-17.9430,-17.9427,-17.8857,0.0057
45deg,HL11,4,1.5000,3.2500,heave,-0.0005,-0.0010,0.0039,0.0005
45deg,HL11,4,1.5000,3.2500,roll,-0.0070,-0.0051,0.0825,0.0067
45deg,HL11,4,1.5000,3.2500,pitch,-0.0001,0.0000,0.0023,0.0001
45deg,HL11,4,1.5000,3.2500,yaw,-0.0083,-0.0081,0.0006,0.0007
45deg,HL11,5,1.8300,3.5900,surge,4.8105,4.8188,4.8721,0.0115
45deg,HL11,5,1.8300,3.5900,sway,-17.9360,-17.9360,-17.8452,0.0104
45deg,HL11,5,1.8300,3.5900,heave,-0.0013,-0.0016,0.0058,0.0007
45deg,HL11,5,1.8300,3.5900,roll,0.0099,0.0133,0.1411,0.0114
45deg,HL11,5,1.8300,3.5900,pitch,-0.0001,0.0000,0.0054,0.0006
45deg,HL11,5,1.8300,3.5900,yaw,-0.0102,-0.0103,0.0050,0.0017
45deg,HL11,6,2.1700,3.9100,surge,4.8129,4.8464,4.9365,0.0218
45deg,HL11,6,2.1700,3.9100,sway,-17.9290,-17.9278,-17.7916,0.0114
45deg,HL11,6,2.1700,3.9100,heave,-0.0021,-0.0021,0.0076,0.0008
45deg,HL11,6,2.1700,3.9100,roll,0.0277,0.0438,0.2200,0.0182
45deg,HL11,6,2.1700,3.9100,pitch,-0.0000,0.0001,0.0091,0.0005
45deg,HL11,6,2.1700,3.9100,yaw,-0.0124,-0.0134,0.0081,0.0025
45deg,HL11,7,2.5000,4.2000,surge,4.8138,4.8905,4.9868,0.0121
45deg,HL11,7,2.5000,4.2000,sway,-17.9210,-17.9179,-17.7094,0.0294
45deg,HL11,7,2.5000,4.2000,heave,-0.0031,-0.0020,0.0112,0.0004
45deg,HL11,7,2.5000,4.2000,roll,0.0455,0.0989,0.4028,0.0519
45deg,HL11,7,2.5000,4.2000,pitch,0.0000,0.0001,0.0160,0.0010
45deg,HL11,7,2.5000,4.2000,yaw,-0.0145,-0.0172,0.0135,0.0028
45deg,HL11,8,2.8300,4.4700,surge,4.8177,4.9221,5.0564,0.0171
45deg,HL11,8,2.8300,4.4700,sway,-17.9120,-17.9072,-17.6413,0.0320
45deg,HL11,8,2.8300,4.4700,heave,-0.0038,-0.0021,0.0191,0.0023
45deg,HL11,8,2.8300,4.4700,roll,0.0642,0.1504,0.5284,0.0669
45deg,HL11,8,2.8300,4.4700,pitch,0.0001,0.0001,0.0295,0.0026
45deg,HL11,8,2.8300,4.4700,yaw,-0.0169,-0.0205,0.0258,0.0058
45deg,HL11,9,3.1700,4.7200,surge,4.8205,4.9558,5.1244,0.0189
45deg,HL11,9,3.1700,4.7200,sway,-17.9020,-17.8953,-17.5644,0.0203
45deg,HL11,9,3.1700,4.7200,heave,-0.0047,-0.0022,0.0250,0.0018
45deg,HL11,9,3.1700,4.7200,roll,0.0841,0.2029,0.6668,0.0445
45deg,HL11,9,3.1700,4.7200,pitch,0.0001,0.0000,0.0421,0.0027
45deg,HL11,9,3.1700,4.7200,yaw,-0.0194,-0.0243,0.0366,0.0074
45deg,HL13,1,0.5000,2.0400,surge,4.8022,4.8019,4.8062,0.0003
45deg,HL13,1,0.5000,2.0400,sway,-17.9580,-17.9583,-17.9496,0.0017
45deg,HL13,1,0.5000,2.0400,heave,0.0015,0.0008,0.0015,0.0000
45deg,HL13,1,0.5000,2.0400,roll,-0.0534,-0.0523,-0.0318,0.0018
45deg,HL13,1,0.5000,2.0400,pitch,-0.0002,-0.0001,0.0002,0.0000
45deg,HL13,1,0.5000,2.0400,yaw,-0.0036,-0.0035,-0.0024,0.0001
45deg,HL13,2,0.8300,2.6300,surge,4.8043,4.8040,4.8137,0.0003
45deg,HL13,2,0.8300,2.6300,sway,-17.9540,-17.9538,-17.9363,0.0019
45deg,HL13,2,0.8300,2.6300,heave,0.0009,0.0002,0.0019,0.0001
45deg,HL13,2,0.8300,2.6300,roll,-0.0379,-0.0367,0.0002,0.0025
45deg,HL13,2,0.8300,2.6300,pitch,-0.0002,-0.0001,0.0006,0.0000
45deg,HL13,2,0.8300,2.6300,yaw,-0.0049,-0.0049,-0.0021,0.0002
45deg,HL13,3,1.1700,3.1200,surge,4.8060,4.8062,4.8262,0.0018
45deg,HL13,3,1.1700,3.1200,sway,-17.9490,-17.9485,-17.9145,0.0027
45deg,HL13,3,1.1700,3.1200,heave,0.0003,-0.0004,0.0028,0.0002
45deg,HL13,3,1.1700,3.1200,roll,-0.0232,-0.0209,0.0354,0.0026
45deg,HL13,3,1.1700,3.1200,pitch,-0.0001,-0.0000,0.0015,0.0001
45deg,HL13,3,1.1700,3.1200,yaw,-0.0066,-0.0064,-0.0008,0.0004
45deg,HL13,4,1.5000,3.5300,surge,4.8081,4.8092,4.8419,0.0048
45deg,HL13,4,1.5000,3.5300,sway,-17.9430,-17.9427,-17.8824,0.0072
45deg,HL13,4,1.5000,3.5300,heave,-0.0005,-0.0010,0.0042,0.0006
45deg,HL13,4,1.5000,3.5300,roll,-0.0070,-0.0051,0.0766,0.0038
45deg,HL13,4,1.5000,3.5300,pitch,-0.0001,0.0000,0.0035,0.0002
45deg,HL13,4,1.5000,3.5300,yaw,-0.0083,-0.0081,0.0015,0.0009
45deg,HL13,5,1.8300,3.9100,surge,4.8103,4.8183,4.8709,0.0141
45deg,HL13,5,1.8300,3.9100,sway,-17.9360,-17.9359,-17.8427,0.0073
45deg,HL13,5,1.8300,3.9100,heave,-0.0013,-0.0016,0.0057,0.0006
45deg,HL13,5,1.8300,3.9100,roll,0.0100,0.0134,0.1381,0.0096
45deg,HL13,5,1.8300,3.9100,pitch,-0.0001,0.0001,0.0076,0.0004
45deg,HL13,5,1.8300,3.9100,yaw,-0.0102,-0.0102,0.0050,0.0017
45deg,HL13,6,2.1700,4.2500,surge,4.8127,4.8480,4.9257,0.0179
45deg,HL13,6,2.1700,4.2500,sway,-17.9290,-17.9275,-17.7991,0.0107
45deg,HL13,6,2.1700,4.2500,heave,-0.0021,-0.0020,0.0093,0.0004
45deg,HL13,6,2.1700,4.2500,roll,0.0278,0.0469,0.2136,0.0148
45deg,HL13,6,2.1700,4.2500,pitch,-0.0000,0.0001,0.0155,0.0011
45deg,HL13,6,2.1700,4.2500,yaw,-0.0123,-0.0134,0.0127,0.0034
45deg,HL13,7,2.5000,4.5600,surge,4.8137,4.8972,4.9965,0.0179
45deg,HL13,7,2.5000,4.5600,sway,-17.9200,-17.9178,-17.7232,0.0210
45deg,HL13,7,2.5000,4.5600,heave,-0.0031,-0.0021,0.0172,0.0017
45deg,HL13,7,2.5000,4.5600,roll,0.0457,0.0970,0.3967,0.0493
45deg,HL13,7,2.5000,4.5600,pitch,0.0000,0.0001,0.0287,0.0016
45deg,HL13,7,2.5000,4.5600,yaw,-0.0144,-0.0172,0.0128,0.0023
45deg,HL13,8,2.8300,4.8600,surge,4.8176,4.9253,5.0439,0.0185
45deg,HL13,8,2.8300,4.8600,sway,-17.9110,-17.9070,-17.6729,0.0077
45deg,HL13,8,2.8300,4.8600,heave,-0.0038,-0.0022,0.0254,0.0023
45deg,HL13,8,2.8300,4.8600,roll,0.0645,0.1480,0.5318,0.0546
45deg,HL13,8,2.8300,4.8600,pitch,0.0001,0.0001,0.0435,0.0024
45deg,HL13,8,2.8300,4.8600,yaw,-0.0167,-0.0204,0.0231,0.0028
45deg,HL13,9,3.1700,5.1300,surge,4.8204,4.9616,5.1566,0.0426
45deg,HL13,9,3.1700,5.1300,sway,-17.9010,-17.8953,-17.5012,0.0437
45deg,HL13,9,3.1700,5.1300,heave,-0.0047,-0.0024,0.0351,0.0021
45deg,HL13,9,3.1700,5.1300,roll,0.0846,0.1936,0.7354,0.0566
45deg,HL13,9,3.1700,5.1300,pitch,0.0001,0.0000,0.0690,0.0047
45deg,HL13,9,3.1700,5.1300,yaw,-0.0192,-0.0243,0.0474,0.0080
45deg,HL15,1,0.5000,2.1900,surge,4.8022,4.8019,4.8063,0.0003
45deg,HL15,1,0.5000,2.1900,sway,-17.9580,-17.9583,-17.9503,0.0015
45deg,HL15,1,0.5000,2.1900,heave,0.0015,0.0008,0.0015,0.0000
45deg,HL15,1,0.5000,2.1900,roll,-0.0534,-0.0523,-0.0317,0.0018
45deg,HL15,1,0.5000,2.1900,pitch,-0.0002,-0.0001,0.0002,0.0000
45deg,HL15,1,0.5000,2.1900,yaw,-0.0036,-0.0036,-0.0023,0.0001
45deg,HL15,2,0.8300,2.8300,surge,4.8043,4.8040,4.8139,0.0004
45deg,HL15,2,0.8300,2.8300,sway,-17.9540,-17.9538,-17.9378,0.0008
45deg,HL15,2,0.8300,2.8300,heave,0.0009,0.0002,0.0020,0.0001
45deg,HL15,2,0.8300,2.8300,roll,-0.0378,-0.0367,-0.0005,0.0021
45deg,HL15,2,0.8300,2.8300,pitch,-0.0002,-0.0001,0.0006,0.0001
45deg,HL15,2,0.8300,2.8300,yaw,-0.0050,-0.0049,-0.0021,0.0002
45deg,HL15,3,1.1700,3.3500,surge,4.8065,4.8062,4.8259,0.0021
45deg,HL15,3,1.1700,3.3500,sway,-17.9490,-17.9485,-17.9109,0.0041
45deg,HL15,3,1.1700,3.3500,heave,0.0001,-0.0004,0.0029,0.0003
45deg,HL15,3,1.1700,3.3500,roll,-0.0220,-0.0208,0.0376,0.0036
45deg,HL15,3,1.1700,3.3500,pitch,-0.0001,-0.0000,0.0018,0.0001
45deg,HL15,3,1.1700,3.3500,yaw,-0.0066,-0.0064,-0.0005,0.0005
45deg,HL15,4,1.5000,3.8000,surge,4.8080,4.8090,4.8410,0.0050
45deg,HL15,4,1.5000,3.8000,sway,-17.9430,-17.9426,-17.8824,0.0058
45deg,HL15,4,1.5000,3.8000,heave,-0.0005,-0.0010,0.0041,0.0002
45deg,HL15,4,1.5000,3.8000,roll,-0.0070,-0.0051,0.0835,0.0065
45deg,HL15,4,1.5000,3.8000,pitch,-0.0001,0.0000,0.0056,0.0004
45deg,HL15,4,1.5000,3.8000,yaw,-0.0083,-0.0081,0.0025,0.0010
45deg,HL15,5,1.8300,4.2000,surge,4.8102,4.8194,4.8689,0.0131
45deg,HL15,5,1.8300,4.2000,sway,-17.9360,-17.9358,-17.8447,0.0082
45deg,HL15,5,1.8300,4.2000,heave,-0.0013,-0.0016,0.0072,0.0005
45deg,HL15,5,1.8300,4.2000,roll,0.0100,0.0138,0.1378,0.0087
45deg,HL15,5,1.8300,4.2000,pitch,-0.0001,0.0001,0.0120,0.0009
45deg,HL15,5,1.8300,4.2000,yaw,-0.0102,-0.0103,0.0075,0.0017
45deg,HL15,6,2.1700,4.5600,surge,4.8126,4.8559,4.9399,0.0185
45deg,HL15,6,2.1700,4.5600,sway,-17.9290,-17.9276,-17.8043,0.0074
45deg,HL15,6,2.1700,4.5600,heave,-0.0021,-0.0021,0.0154,0.0021
45deg,HL15,6,2.1700,4.5600,roll,0.0279,0.0440,0.2161,0.0155
45deg,HL15,6,2.1700,4.5600,pitch,-0.0000,0.0001,0.0250,0.0014
45deg,HL15,6,2.1700,4.5600,yaw,-0.0122,-0.0136,0.0093,0.0024
45deg,HL15,7,2.5000,4.9000,surge,4.8136,4.9044,5.0006,0.0129
45deg,HL15,7,2.5000,4.9000,sway,-17.9200,-17.9175,-17.7413,0.0065
45deg,HL15,7,2.5000,4.9000,heave,-0.0031,-0.0021,0.0219,0.0017
45deg,HL15,7,2.5000,4.9000,roll,0.0459,0.0969,0.4143,0.0519
45deg,HL15,7,2.5000,4.9000,pitch,0.0000,0.0001,0.0410,0.0019
45deg,HL15,7,2.5000,4.9000,yaw,-0.0142,-0.0174,0.0169,0.0035
45deg,HL15,8,2.8300,5.2200,surge,4.8176,4.9380,5.0473,0.0062
45deg,HL15,8,2.8300,5.2200,sway,-17.9110,-17.9071,-17.6195,0.0335
45deg,HL15,8,2.8300,5.2200,heave,-0.0038,-0.0023,0.0349,0.0027
45deg,HL15,8,2.8300,5.2200,roll,0.0648,0.1379,0.5363,0.0359
45deg,HL15,8,2.8300,5.2200,pitch,0.0001,0.0000,0.0701,0.0058
45deg,HL15,8,2.8300,5.2200,yaw,-0.0165,-0.0207,0.0324,0.0061
45deg,HL15,9,3.1700,5.5200,surge,4.8205,4.9674,5.2741,0.0860
45deg,HL15,9,3.1700,5.5200,sway,-17.9000,-17.8953,-17.4254,0.0782
45deg,HL15,9,3.1700,5.5200,heave,-0.0047,-0.0027,0.0438,0.0017
45deg,HL15,9,3.1700,5.5200,roll,0.0851,0.1783,0.6964,0.0395
45deg,HL15,9,3.1700,5.5200,pitch,0.0001,-0.0000,0.1114,0.0087
45deg,HL15,9,3.1700,5.5200,yaw,-0.0189,-0.0243,0.0740,0.0176
45deg,HL17,1,0.5000,2.3300,surge,4.8022,4.8019,4.8062,0.0002
45deg,HL17,1,0.5000,2.3300,sway,-17.9580,-17.9583,-17.9503,0.0013
45deg,HL17,1,0.5000,2.3300,heave,0.0015,0.0008,0.0015,0.0000
45deg,HL17,1,0.5000,2.3300,roll,-0.0534,-0.0522,-0.0319,0.0018
45deg,HL17,1,0.5000,2.3300,pitch,-0.0002,-0.0001,0.0002,0.0000
45deg,HL17,1,0.5000,2.3300,yaw,-0.0036,-0.0036,-0.0023,0.0001
45deg,HL17,2,0.8300,3.0100,surge,4.8042,4.8040,4.8143,0.0008
45deg,HL17,2,0.8300,3.0100,sway,-17.9540,-17.9538,-17.9372,0.0008
45deg,HL17,2,0.8300,3.0100,heave,0.0009,0.0002,0.0020,0.0001
45deg,HL17,2,0.8300,3.0100,roll,-0.0378,-0.0367,-0.0013,0.0020
45deg,HL17,2,0.8300,3.0100,pitch,-0.0002,-0.0001,0.0007,0.0001
45deg,HL17,2,0.8300,3.0100,yaw,-0.0050,-0.0049,-0.0018,0.0003
45deg,HL17,3,1.1700,3.5600,surge,4.8065,4.8061,4.8265,0.0028
45deg,HL17,3,1.1700,3.5600,sway,-17.9490,-17.9485,-17.9106,0.0044
45deg,HL17,3,1.1700,3.5600,heave,0.0001,-0.0004,0.0029,0.0002
45deg,HL17,3,1.1700,3.5600,roll,-0.0219,-0.0208,0.0420,0.0033
45deg,HL17,3,1.1700,3.5600,pitch,-0.0001,-0.0000,0.0029,0.0002
45deg,HL17,3,1.1700,3.5600,yaw,-0.0066,-0.0064,-0.0001,0.0005
45deg,HL17,4,1.5000,4.0400,surge,4.8079,4.8090,4.8398,0.0048
45deg,HL17,4,1.5000,4.0400,sway,-17.9430,-17.9426,-17.8820,0.0041
45deg,HL17,4,1.5000,4.0400,heave,-0.0005,-0.0010,0.0052,0.0005
45deg,HL17,4,1.5000,4.0400,roll,-0.0069,-0.0057,0.0831,0.0042
45deg,HL17,4,1.5000,4.0400,pitch,-0.0001,0.0001,0.0079,0.0003
45deg,HL17,4,1.5000,4.0400,yaw,-0.0083,-0.0081,0.0025,0.0006
45deg,HL17,5,1.8300,4.4700,surge,4.8101,4.8185,4.8685,0.0101
45deg,HL17,5,1.8300,4.4700,sway,-17.9360,-17.9357,-17.8497,0.0058
45deg,HL17,5,1.8300,4.4700,heave,-0.0013,-0.0016,0.0109,0.0015
45deg,HL17,5,1.8300,4.4700,roll,0.0101,0.0133,0.1464,0.0130
45deg,HL17,5,1.8300,4.4700,pitch,-0.0001,0.0001,0.0195,0.0018
45deg,HL17,5,1.8300,4.4700,yaw,-0.0101,-0.0102,0.0073,0.0017
45deg,HL17,6,2.1700,4.8600,surge,4.8125,4.8657,4.9297,0.0087
45deg,HL17,6,2.1700,4.8600,sway,-17.9280,-17.9274,-17.7961,0.0077
45deg,HL17,6,2.1700,4.8600,heave,-0.0021,-0.0021,0.0168,0.0014
45deg,HL17,6,2.1700,4.8600,roll,0.0281,0.0446,0.2325,0.0141
45deg,HL17,6,2.1700,4.8600,pitch,-0.0000,0.0001,0.0332,0.0018
45deg,HL17,6,2.1700,4.8600,yaw,-0.0121,-0.0138,0.0134,0.0031
45deg,HL17,7,2.5000,5.2200,surge,4.8136,4.9165,5.0010,0.0037
45deg,HL17,7,2.5000,5.2200,sway,-17.9200,-17.9178,-17.7148,0.0193
45deg,HL17,7,2.5000,5.2200,heave,-0.0031,-0.0022,0.0305,0.0026
45deg,HL17,7,2.5000,5.2200,roll,0.0462,0.0879,0.3773,0.0182
45deg,HL17,7,2.5000,5.2200,pitch,0.0000,0.0000,0.0619,0.0052
45deg,HL17,7,2.5000,5.2200,yaw,-0.0141,-0.0177,0.0146,0.0019
45deg,HL17,8,2.8300,5.5500,surge,4.8177,4.9432,5.0732,0.0200
45deg,HL17,8,2.8300,5.5500,sway,-17.9100,-17.9073,-17.5850,0.0447
45deg,HL17,8,2.8300,5.5500,heave,-0.0038,-0.0026,0.0426,0.0022
45deg,HL17,8,2.8300,5.5500,roll,0.0652,0.1259,0.5481,0.0294
45deg,HL17,8,2.8300,5.5500,pitch,0.0001,-0.0000,0.0984,0.0068
45deg,HL17,8,2.8300,5.5500,yaw,-0.0164,-0.0208,0.0355,0.0063
45deg,HL17,9,3.1700,5.8700,surge,4.8205,4.9665,5.3017,0.0933
45deg,HL17,9,3.1700,5.8700,sway,-17.9000,-17.8954,-17.4312,0.0773
45deg,HL17,9,3.1700,5.8700,heave,-0.0047,-0.0028,0.0539,0.0051
45deg,HL17,9,3.1700,5.8700,roll,0.0852,0.1741,0.6893,0.0624
45deg,HL17,9,3.1700,5.8700,pitch,0.0001,-0.0000,0.1174,0.0119
45deg,HL17,9,3.1700,5.8700,yaw,-0.0189,-0.0242,0.0662,0.0153
45deg,HL19,1,0.5000,2.4700,surge,4.8021,4.8019,4.8061,0.0003
45deg,HL19,1,0.5000,2.4700,sway,-17.9580,-17.9583,-17.9506,0.0011
45deg,HL19,1,0.5000,2.4700,heave,0.0015,0.0008,0.0015,0.0000
45deg,HL19,1,0.5000,2.4700,roll,-0.0534,-0.0522,-0.0321,0.0017
45deg,HL19,1,0.5000,2.4700,pitch,-0.0002,-0.0001,0.0002,0.0000
45deg,HL19,1,0.5000,2.4700,yaw,-0.0036,-0.0036,-0.0023,0.0001
45deg,HL19,2,0.8300,3.1800,surge,4.8042,4.8039,4.8143,0.0009
45deg,HL19,2,0.8300,3.1800,sway,-17.9540,-17.9538,-17.9357,0.0012
45deg,HL19,2,0.8300,3.1800,heave,0.0009,0.0002,0.0021,0.0002
45deg,HL19,2,0.8300,3.1800,roll,-0.0378,-0.0367,-0.0004,0.0019
45deg,HL19,2,0.8300,3.1800,pitch,-0.0002,-0.0001,0.0011,0.0001
45deg,HL19,2,0.8300,3.1800,yaw,-0.0050,-0.0049,-0.0017,0.0003
45deg,HL19,3,1.1700,3.7700,surge,4.8064,4.8061,4.8256,0.0026
45deg,HL19,3,1.1700,3.7700,sway,-17.9490,-17.9485,-17.9119,0.0031
45deg,HL19,3,1.1700,3.7700,heave,0.0001,-0.0004,0.0034,0.0003
45deg,HL19,3,1.1700,3.7700,roll,-0.0219,-0.0208,0.0417,0.0030
45deg,HL19,3,1.1700,3.7700,pitch,-0.0001,-0.0000,0.0040,0.0003
45deg,HL19,3,1.1700,3.7700,yaw,-0.0066,-0.0064,0.0003,0.0005
45deg,HL19,4,1.5000,4.2700,surge,4.8079,4.8095,4.8384,0.0038
45deg,HL19,4,1.5000,4.2700,sway,-17.9430,-17.9426,-17.8852,0.0037
45deg,HL19,4,1.5000,4.2700,heave,-0.0005,-0.0010,0.0070,0.0009
45deg,HL19,4,1.5000,4.2700,roll,-0.0069,-0.0059,0.0913,0.0076
45deg,HL19,4,1.5000,4.2700,pitch,-0.0001,0.0001,0.0111,0.0008
45deg,HL19,4,1.5000,4.2700,yaw,-0.0083,-0.0081,0.0044,0.0012
45deg,HL19,5,1.8300,4.7200,surge,4.8101,4.8243,4.8755,0.0135
45deg,HL19,5,1.8300,4.7200,sway,-17.9360,-17.9358,-17.8475,0.0034
45deg,HL19,5,1.8300,4.7200,heave,-0.0013,-0.0017,0.0132,0.0013
45deg,HL19,5,1.8300,4.7200,roll,0.0102,0.0115,0.1454,0.0100
45deg,HL19,5,1.8300,4.7200,pitch,-0.0001,0.0002,0.0246,0.0017
45deg,HL19,5,1.8300,4.7200,yaw,-0.0101,-0.0103,0.0100,0.0025
45deg,HL19,6,2.1700,5.1300,surge,4.8125,4.8777,4.9511,0.0071
45deg,HL19,6,2.1700,5.1300,sway,-17.9280,-17.9275,-17.7856,0.0135
45deg,HL19,6,2.1700,5.1300,heave,-0.0021,-0.0021,0.0232,0.0013
45deg,HL19,6,2.1700,5.1300,roll,0.0282,0.0411,0.2693,0.0275
45deg,HL19,6,2.1700,5.1300,pitch,-0.0000,0.0001,0.0478,0.0032
45deg,HL19,6,2.1700,5.1300,yaw,-0.0120,-0.0142,0.0116,0.0015
45deg,HL19,7,2.5000,5.5200,surge,4.8137,4.9231,5.0142,0.0088
45deg,HL19,7,2.5000,5.5200,sway,-17.9190,-17.9180,-17.6989,0.0226
45deg,HL19,7,2.5000,5.5200,heave,-0.0031,-0.0024,0.0337,0.0011
45deg,HL19,7,2.5000,5.5200,roll,0.0464,0.0785,0.3757,0.0233
45deg,HL19,7,2.5000,5.5200,pitch,0.0000,-0.0000,0.0879,0.0069
45deg,HL19,7,2.5000,5.5200,yaw,-0.0140,-0.0178,0.0304,0.0062
45deg,HL19,8,2.8300,5.8700,surge,4.8179,4.9459,5.1031,0.0217
45deg,HL19,8,2.8300,5.8700,sway,-17.9100,-17.9075,-17.5639,0.0525
45deg,HL19,8,2.8300,5.8700,heave,-0.0038,-0.0029,0.0555,0.0029
45deg,HL19,8,2.8300,5.8700,roll,0.0657,0.1097,0.5283,0.0360
45deg,HL19,8,2.8300,5.8700,pitch,0.0001,-0.0000,0.1302,0.0083
45deg,HL19,8,2.8300,5.8700,yaw,-0.0161,-0.0206,0.0535,0.0097
45deg,HL19,9,3.1700,6.2100,surge,4.8211,4.9678,5.3577,0.1091
45deg,HL19,9,3.1700,6.2100,sway,-17.8980,-17.8953,-17.3665,0.0914
45deg,HL19,9,3.1700,6.2100,heave,-0.0048,-0.0034,0.0930,0.0110
45deg,HL19,9,3.1700,6.2100,roll,0.0865,0.1433,0.7353,0.0397
45deg,HL19,9,3.1700,6.2100,pitch,0.0001,-0.0001,0.1783,0.0126
45deg,HL19,9,3.1700,6.2100,yaw,-0.0179,-0.0234,0.1103,0.0258
45deg,HL21,1,0.5000,2.5900,surge,4.8021,4.8019,4.8060,0.0002
45deg,HL21,1,0.5000,2.5900,sway,-17.9580,-17.9583,-17.9510,0.0010
45deg,HL21,1,0.5000,2.5900,heave,0.0015,0.0008,0.0016,0.0000
45deg,HL21,1,0.5000,2.5900,roll,-0.0534,-0.0522,-0.0322,0.0017
45deg,HL21,1,0.5000,2.5900,pitch,-0.0002,-0.0001,0.0002,0.0000
45deg,HL21,1,0.5000,2.5900,yaw,-0.0036,-0.0036,-0.0023,0.0001
45deg,HL21,2,0.8300,3.3500,surge,4.8042,4.8039,4.8148,0.0013
45deg,HL21,2,0.8300,3.3500,sway,-17.9540,-17.9538,-17.9339,0.0018
45deg,HL21,2,0.8300,3.3500,heave,0.0009,0.0002,0.0021,0.0002
45deg,HL21,2,0.8300,3.3500,roll,-0.0378,-0.0367,-0.0002,0.0022
45deg,HL21,2,0.8300,3.3500,pitch,-0.0002,-0.0001,0.0012,0.0001
45deg,HL21,2,0.8300,3.3500,yaw,-0.0050,-0.0049,-0.0016,0.0002
45deg,HL21,3,1.1700,3.9600,surge,4.8064,4.8061,4.8252,0.0026
45deg,HL21,3,1.1700,3.9600,sway,-17.9490,-17.9484,-17.9130,0.0022
45deg,HL21,3,1.1700,3.9600,heave,0.0001,-0.0004,0.0044,0.0005
45deg,HL21,3,1.1700,3.9600,roll,-0.0219,-0.0208,0.0397,0.0030
45deg,HL21,3,1.1700,3.9600,pitch,-0.0001,-0.0000,0.0050,0.0001
45deg,HL21,3,1.1700,3.9600,yaw,-0.0066,-0.0064,0.0005,0.0005
45deg,HL21,4,1.5000,4.4900,surge,4.8079,4.8091,4.8368,0.0036
45deg,HL21,4,1.5000,4.4900,sway,-17.9430,-17.9425,-17.8871,0.0027
45deg,HL21,4,1.5000,4.4900,heave,-0.0005,-0.0010,0.0087,0.0008
45deg,HL21,4,1.5000,4.4900,roll,-0.0069,-0.0061,0.0888,0.0076
45deg,HL21,4,1.5000,4.4900,pitch,-0.0001,0.0001,0.0162,0.0013
45deg,HL21,4,1.5000,4.4900,yaw,-0.0082,-0.0080,0.0043,0.0010
45deg,HL21,5,1.8300,4.9700,surge,4.8101,4.8331,4.8878,0.0120
45deg,HL21,5,1.8300,4.9700,sway,-17.9360,-17.9361,-17.8410,0.0076
45deg,HL21,5,1.8300,4.9700,heave,-0.0013,-0.0018,0.0165,0.0013
45deg,HL21,5,1.8300,4.9700,roll,0.0103,0.0041,0.1441,0.0083
45deg,HL21,5,1.8300,4.9700,pitch,-0.0001,0.0002,0.0330,0.0021
45deg,HL21,5,1.8300,4.9700,yaw,-0.0100,-0.0106,0.0115,0.0023
45deg,HL21,6,2.1700,5.4000,surge,4.8125,4.8935,4.9632,0.0044
45deg,HL21,6,2.1700,5.4000,sway,-17.9280,-17.9276,-17.7732,0.0187
45deg,HL21,6,2.1700,5.4000,heave,-0.0021,-0.0022,0.0311,0.0026
45deg,HL21,6,2.1700,5.4000,roll,0.0284,0.0360,0.3086,0.0406
45deg,HL21,6,2.1700,5.4000,pitch,-0.0000,0.0000,0.0688,0.0067
45deg,HL21,6,2.1700,5.4000,yaw,-0.0120,-0.0148,0.0190,0.0036
45deg,HL21,7,2.5000,5.8000,surge,4.8138,4.9234,5.0308,0.0138
45deg,HL21,7,2.5000,5.8000,sway,-17.9190,-17.9182,-17.6824,0.0256
45deg,HL21,7,2.5000,5.8000,heave,-0.0031,-0.0027,0.0452,0.0021
45deg,HL21,7,2.5000,5.8000,roll,0.0468,0.0661,0.4137,0.0362
45deg,HL21,7,2.5000,5.8000,pitch,0.0000,-0.0000,0.1061,0.0077
45deg,HL21,7,2.5000,5.8000,yaw,-0.0138,-0.0177,0.0410,0.0084
45deg,HL21,8,2.8300,6.1700,surge,4.8181,4.9428,5.0923,0.0165
45deg,HL21,8,2.8300,6.1700,sway,-17.9090,-17.9075,-17.5566,0.0518
45deg,HL21,8,2.8300,6.1700,heave,-0.0039,-0.0032,0.0792,0.0080
45deg,HL21,8,2.8300,6.1700,roll,0.0662,0.0957,0.6027,0.0588
45deg,HL21,8,2.8300,6.1700,pitch,0.0001,-0.0000,0.1597,0.0126
45deg,HL21,8,2.8300,6.1700,yaw,-0.0156,-0.0200,0.0601,0.0073
45deg,HL21,9,3.1700,6.5300,surge,4.8215,4.9682,5.3308,0.0896
45deg,HL21,9,3.1700,6.5300,sway,-17.8970,-17.8948,-17.3616,0.0835
45deg,HL21,9,3.1700,6.5300,heave,-0.0048,-0.0036,0.1185,0.0113
45deg,HL21,9,3.1700,6.5300,roll,0.0875,0.1333,0.7597,0.0682
45deg,HL21,9,3.1700,6.5300,pitch,0.0001,-0.0001,0.2112,0.0056
