Excitation Force 1.heave heading 0.0º mag
ω [rad/s];Fexₘₐ₃ tanker(Wm.o) [N/m]
0.300000014666746;12524080.56032
0.349999961406977;3266489.47286288
0.400000083217654;8045974.30694925
0.450000129429741;11441128.0329937
0.500000024444576;11398799.834765
0.550000158191906;8584563.68898538
0.600000315812554;5203057.3138635
0.650000062813167;4857819.64330425
0.700000078785798;6151277.306538
0.750000036666864;6077947.296631
0.800000064576116;4864908.18412375
0.850000082140296;4578413.3277295
0.900000129943923;4897568.54548325
0.950000182522204;4180569.47682587
1.00000004888915;3821255.24279013
1.0500000011998;4040872.35012825
1.09999993122876;3222370.04097837
1.14999987319435;3340117.01653087
1.19999994407542;3083030.75893925
1.24999981243187;2762060.18317075
1.29999985665448;2786653.96198962
1.34999980816937;2450988.63604525
1.39999984562791;2395318.66210788
1.44999974780478;2193819.95356038
1.49999971523516;2006340.51313675
1.54999959473247;1900451.66521437
1.59999951799738;1713519.04359475
1.64999960797701;1583425.42214237
1.69999924436534;1510526.6351525
1.74999931962311;1356972.07457262
1.79999922856411;1287673.8481635
1.84999911880442;1195522.81751
1.89999921594597;1107981.54978875
1.94999897806668;1022648.66609762
1.99999914284901;939768.928162313
2.04999895828657;882630.584907138
2.09999930052653;823327.583022525
2.14999909567183;760599.324232563
2.19999947730268;709576.304947562
2.24999903570513;661937.229603125
2.29999890445955;613350.368504475
2.34999901154827;570718.8064613
2.39999897141881;536161.164784612
2.44999850157145;505768.694207438
2.49999912750478;476100.6580274
2.54999921151609;447494.093643362
2.59999863742224;420950.966099125
2.64999812619473;397327.187548375
