Excitation Force 1.pitch heading 0.0º mag
ω [rad/s];Fexₘₐ₅ tanker(Wm.o) [Nm/m]
0.300000014666746;2969934758.76562
0.349999961406977;2323545678.538
0.400000083217654;1501617710.41013
0.450000129429741;757526986.59575
0.500000024444576;624288051.320587
0.550000158191906;868714448.417988
0.600000315812554;950136270.9244
0.650000062813167;808824219.42805
0.700000078785798;586756278.25185
0.750000036666864;548834193.158125
0.800000064576116;616184377.578
0.850000082140296;566972494.544925
0.900000129943923;472742848.809087
0.950000182522204;494726070.429675
1.00000004888915;468199829.936738
1.0500000011998;388951210.103575
1.09999993122876;419024937.587462
1.14999987319435;356150927.461875
1.19999994407542;343191120.77075
1.24999981243187;329111742.7857
1.29999985665448;293437042.76915
1.34999980816937;287859792.522838
1.39999984562791;260233883.33215
1.44999974780478;243447149.158325
1.49999971523516;228904985.553125
1.54999959473247;205326038.10285
1.59999951799738;194206015.339963
1.64999960797701;179575496.269925
1.69999924436534;162452227.28805
1.74999931962311;155648253.386588
1.79999922856411;142806052.945587
1.84999911880442;131944462.378487
1.89999921594597;122497262.875925
1.94999897806668;113793696.739537
1.99999914284901;106026959.87765
2.04999895828657;97547589.4509025
2.09999930052653;90422922.4038
2.14999909567183;84651692.207495
2.19999947730268;78723070.6723475
2.24999903570513;73048830.4510387
2.29999890445955;68138658.9383412
2.34999901154827;63682125.8930063
2.39999897141881;59492518.82819
2.44999850157145;55740105.4593512
2.49999912750478;52430665.5808337
2.54999921151609;49390925.98412
2.59999863742224;46526299.0782975
2.64999812619473;43858647.56371
