Excitation Force 1.surge heading 0.0º mag
ω [rad/s];Fexₘₐ₁ tanker(Wm.o) [N/m]
0.300000014666746;3992291.922192
0.349999961406977;1771720.06486388
0.400000083217654;1870850.07153975
0.450000129429741;3624687.95529487
0.500000024444576;4495662.755633
0.550000158191906;4226655.04396887
0.600000315812554;3057366.46168975
0.650000062813167;1702908.34636125
0.700000078785798;1863265.97617912
0.750000036666864;2640223.12358612
0.800000064576116;2565609.496744
0.850000082140296;1774438.07597788
0.900000129943923;1597429.61254187
0.950000182522204;2077593.8178065
1.00000004888915;1949387.92744588
1.0500000011998;1652010.97477938
1.09999993122876;1920436.68628262
1.14999987319435;1918652.48889825
1.19999994407542;1724486.58030513
1.24999981243187;1915336.39471738
1.29999985665448;1722059.06668075
1.34999980816937;1761542.60091075
1.39999984562791;1670862.15097463
1.44999974780478;1623300.97720613
1.49999971523516;1574557.70984662
1.54999959473247;1513596.45983525
1.59999951799738;1497629.14972212
1.64999960797701;1434235.36017825
1.69999924436534;1430615.70114662
1.74999931962311;1390165.18219338
1.79999922856411;1343545.8636075
1.84999911880442;1329642.1913705
1.89999921594597;1264853.20973113
1.94999897806668;1237703.25403987
1.99999914284901;1197051.69876162
2.04999895828657;1151704.940113
2.09999930052653;1131986.29217537
2.14999909567183;1100953.31986675
2.19999947730268;1065734.77127163
2.24999903570513;1044065.06579988
2.29999890445955;1020419.17325337
2.34999901154827;987833.094815962
2.39999897141881;957119.368191437
2.44999850157145;933586.357541425
2.49999912750478;912563.586963525
2.54999921151609;890842.21515625
2.59999863742224;868532.81209835
2.64999812619473;846766.709708763
