Excitation Force 1.yaw heading 135.0º phase
ω [rad/s];Fexₚₕ₆ tanker(Wm.o) [rad]
0.300000014666746;2.94960643587042
0.349999961406977;2.8623399732707
0.400000083217654;2.75762021815104
0.450000129429741;2.68780704807127
0.500000024444576;2.61799387799149
0.550000158191906;2.53072741539178
0.600000315812554;2.40855436775217
0.650000062813167;1.74532925199433
0.700000078785798;0
0.750000036666864;-0.20943951023932
0.800000064576116;-0.226892802759263
0.850000082140296;-0.174532925199433
0.900000129943923;-0.0698131700797732
0.950000182522204;0.907571211037051
1.00000004888915;2.9845130209103
1.0500000011998;-3.08923277602996
1.09999993122876;-2.82743338823081
1.14999987319435;-1.83259571459405
1.19999994407542;-0.122173047639603
1.24999981243187;0.349065850398866
1.29999985665448;1.09955742875643
1.34999980816937;2.82743338823081
1.39999984562791;-2.67035375555132
1.44999974780478;-1.65806278939461
1.49999971523516;-0.0698131700797732
1.54999959473247;0.872664625997165
1.59999951799738;2.3387411976724
1.64999960797701;-2.61799387799149
1.69999924436534;-1.32645023151569
1.74999931962311;0.261799387799149
1.79999922856411;1.5707963267949
1.84999911880442;-3.01941960595019
1.89999921594597;-1.62315620435473
1.94999897806668;0.139626340159546
1.99999914284901;1.62315620435473
2.04999895828657;-2.82743338823081
2.09999930052653;-1.20427718387609
2.14999909567183;0.628318530717959
2.19999947730268;2.42600766027212
2.24999903570513;-2.05948851735331
2.29999890445955;-0.0349065850398866
2.34999901154827;1.71042266695444
2.39999897141881;-2.42600766027212
2.44999850157145;-0.506145483078356
2.49999912750478;1.51843644923507
2.54999921151609;-2.53072741539178
2.59999863742224;-0.506145483078355
2.64999812619473;1.67551608191456
