Excitation Force 1.pitch heading 135.0º mag
ω [rad/s];Fexₘₐ₅ tanker(Wm.o) [Nm/m]
0.300000014666746;3072536662.77425
0.349999961406977;3052337538.01988
0.400000083217654;2882878993.76925
0.450000129429741;2522445992.58487
0.500000024444576;2000000832.62788
0.550000158191906;1387667305.85525
0.600000315812554;747793913.439038
0.650000062813167;162046535.9842
0.700000078785798;395387689.602937
0.750000036666864;689537205.107888
0.800000064576116;754618393.04565
0.850000082140296;611436703.7268
0.900000129943923;328307798.522025
0.950000182522204;108656012.417838
1.00000004888915;296624272.6657
1.0500000011998;394661144.324387
1.09999993122876;295027240.0999
1.14999987319435;55102719.7909387
1.19999994407542;221539517.195938
1.24999981243187;273938429.089238
1.29999985665448;114038760.019712
1.34999980816937;126877140.770537
1.39999984562791;203981004.570437
1.44999974780478;86591903.8318862
1.49999971523516;118474023.421862
1.54999959473247;138371593.688738
1.59999951799738;53490860.79617
1.64999960797701;119166995.634137
1.69999924436534;62805627.6196388
1.74999931962311;88455631.1864312
1.79999922856411;70030330.3420613
1.84999911880442;66877749.056125
1.89999921594597;65620196.4805362
1.94999897806668;55408666.92214
1.99999914284901;56271856.5907925
2.04999895828657;51833909.3537038
2.09999930052653;44347316.6107037
2.14999909567183;52391051.3729925
2.19999947730268;32366003.972435
2.24999903570513;50909996.663085
2.29999890445955;29917391.5857513
2.34999901154827;41601240.8257338
2.39999897141881;37834352.841495
2.44999850157145;27285042.0498337
2.49999912750478;39127709.9865663
2.54999921151609;28839042.7902675
2.59999863742224;25464286.2097575
2.64999812619473;33266103.9103575
