Excitation Force 1.heave heading 135.0º mag
ω [rad/s];Fexₘₐ₃ tanker(Wm.o) [N/m]
0.300000014666746;37473603.2080988
0.349999961406977;26895132.0974962
0.400000083217654;17089585.3456213
0.450000129429741;8391497.44909
0.500000024444576;2132726.0195745
0.550000158191906;6132608.06821687
0.600000315812554;9789250.7473705
0.650000062813167;10833053.4607662
0.700000078785798;9532555.505431
0.750000036666864;6496222.46924437
0.800000064576116;2800827.02290212
0.850000082140296;2357179.0557105
0.900000129943923;4370434.21324562
0.950000182522204;4872222.89080887
1.00000004888915;3574402.73932262
1.0500000011998;1280905.96028238
1.09999993122876;2174800.91203375
1.14999987319435;3415357.876707
1.19999994407542;2385501.0531765
1.24999981243187;714690.367501075
1.29999985665448;2300254.61510513
1.34999980816937;2098303.57482638
1.39999984562791;701992.3101051
1.44999974780478;1721694.18575088
1.49999971523516;1408248.39962712
1.54999959473247;814172.087227538
1.59999951799738;1364446.60513612
1.64999960797701;699118.69687555
1.69999924436534;1042209.50052012
1.74999931962311;757205.831066563
1.79999922856411;773202.492483138
1.84999911880442;728580.16823165
1.89999921594597;608753.572415187
1.94999897806668;637047.424795688
1.99999914284901;528860.028051425
2.04999895828657;522092.54224295
2.09999930052653;512996.553200162
2.14999909567183;400381.431915937
2.19999947730268;514423.307998688
2.24999903570513;312653.904039575
2.29999890445955;468946.9814386
2.34999901154827;337882.857127287
2.39999897141881;349693.8417392
2.44999850157145;394268.218827175
2.49999912750478;260184.629432525
2.54999921151609;334163.584596625
2.59999863742224;325548.775997725
2.64999812619473;226978.052378
