Excitation Force 1.surge heading 135.0º mag
ω [rad/s];Fexₘₐ₁ tanker(Wm.o) [N/m]
0.300000014666746;6795142.37570525
0.349999961406977;6293190.85871875
0.400000083217654;5235003.99626925
0.450000129429741;3738900.71225387
0.500000024444576;2229194.30530737
0.550000158191906;1541703.3484335
0.600000315812554;2395849.39800587
0.650000062813167;3567358.42649463
0.700000078785798;4185766.26582712
0.750000036666864;3999154.29714587
0.800000064576116;3217214.46442375
0.850000082140296;2224941.381852
0.900000129943923;1789057.43753187
0.950000182522204;2064497.30641438
1.00000004888915;2259448.26185662
1.0500000011998;2138127.86562725
1.09999993122876;1799628.932682
1.14999987319435;1476038.85359875
1.19999994407542;1555177.80811663
1.24999981243187;1610221.55390163
1.29999985665448;1281914.15745225
1.34999980816937;1186962.6907915
1.39999984562791;1223704.0895485
1.44999974780478;1005620.88937013
1.49999971523516;942285.80243315
1.54999959473247;889782.552687175
1.59999951799738;762878.272012762
1.64999960797701;729003.651250263
1.69999924436534;661292.204554362
1.74999931962311;586945.553951837
1.79999922856411;579100.714477688
1.84999911880442;490396.652652638
1.89999921594597;496912.239945888
1.94999897806668;435659.286226937
1.99999914284901;433353.801651838
2.04999895828657;397409.4114053
2.09999930052653;395786.445153575
2.14999909567183;365580.13421335
2.19999947730268;355367.388385188
2.24999903570513;352609.873633325
2.29999890445955;310772.103519413
2.34999901154827;321943.290027013
2.39999897141881;292760.75657185
2.44999850157145;277193.609263638
2.49999912750478;269970.173070062
2.54999921151609;239674.903556025
2.59999863742224;236637.04364895
2.64999812619473;230171.815955113
