Excitation Force 1.roll heading 135.0º mag
ω [rad/s];Fexₘₐ₄ tanker(Wm.o) [Nm/m]
0.300000014666746;72081654.74328
0.349999961406977;58433730.8671287
0.400000083217654;40657194.3471662
0.450000129429741;24076351.52559
0.500000024444576;21231245.246925
0.550000158191906;31626260.6591487
0.600000315812554;40162363.5368112
0.650000062813167;41876610.3319025
0.700000078785798;36373823.94037
0.750000036666864;25737615.1972275
0.800000064576116;15408529.6477875
0.850000082140296;16486104.45342
0.900000129943923;23604539.3744475
0.950000182522204;25263561.4910613
1.00000004888915;18611249.3931788
1.0500000011998;8562173.2682885
1.09999993122876;13102361.5491825
1.14999987319435;18175513.2105575
1.19999994407542;13516295.3423575
1.24999981243187;2910167.66452475
1.29999985665448;11176725.0583538
1.34999980816937;12477128.5266163
1.39999984562791;3079536.74761075
1.44999974780478;7701706.63665813
1.49999971523516;9035809.82408037
1.54999959473247;1134898.303343
1.59999951799738;7519131.47738287
1.64999960797701;4201662.20804487
1.69999924436534;4594773.663858
1.74999931962311;5237650.63948788
1.79999922856411;2520333.10080913
1.84999911880442;4926152.89535338
1.89999921594597;1569582.06080288
1.94999897806668;4159238.51756175
1.99999914284901;1370798.3478245
2.04999895828657;3320201.35299475
2.09999930052653;1454878.77521087
2.14999909567183;2522923.45385675
2.19999947730268;1803022.425848
2.24999903570513;1608770.07163512
2.29999890445955;2136886.46632037
2.34999901154827;580490.7801469
2.39999897141881;1975728.711929
2.44999850157145;1142042.12915188
2.49999912750478;984577.41205075
2.54999921151609;1616883.89771212
2.59999863742224;749473.370898088
2.64999812619473;903437.744026475
