Excitation Force 1.sway heading 135.0º mag
ω [rad/s];Fexₘₐ₂ tanker(Wm.o) [N/m]
0.300000014666746;17007552.473205
0.349999961406977;14017669.8850912
0.400000083217654;10065587.2382625
0.450000129429741;5717640.94833137
0.500000024444576;2464853.10619887
0.550000158191906;3887690.71193125
0.600000315812554;6069541.96788275
0.650000062813167;6981043.68097763
0.700000078785798;6455948.86225712
0.750000036666864;4694725.90910313
0.800000064576116;2136064.22775113
0.850000082140296;569106.696171125
0.900000129943923;2698081.37792113
0.950000182522204;3598185.33657013
1.00000004888915;2958175.13893475
1.0500000011998;1253216.2220585
1.09999993122876;1387111.44041663
1.14999987319435;2378284.85429062
1.19999994407542;1970117.78809825
1.24999981243187;1026462.32518288
1.29999985665448;1657111.26634462
1.34999980816937;1643107.07594512
1.39999984562791;1024029.78565038
1.44999974780478;1363022.2627735
1.49999971523516;1208847.505131
1.54999959473247;952630.126536025
1.59999951799738;1123998.1138015
1.64999960797701;845423.183948788
1.69999924436534;916884.159142263
1.74999931962311;783208.271414713
1.79999922856411;767072.492861237
1.84999911880442;696084.254586
1.89999921594597;681896.920094425
1.94999897806668;612449.223177662
1.99999914284901;629716.635204563
2.04999895828657;542597.141693162
2.09999930052653;591785.302439887
2.14999909567183;486175.090863963
2.19999947730268;555346.563870175
2.24999903570513;450331.41981625
2.29999890445955;498873.2487781
2.34999901154827;447474.392083513
2.39999897141881;410050.475003137
2.44999850157145;441036.103257225
2.49999912750478;364095.480953225
2.54999921151609;369221.806722562
2.59999863742224;370709.978118375
2.64999812619473;312105.577463138
