Excitation Force 1.yaw heading 135.0º mag
ω [rad/s];Fexₘₐ₆ tanker(Wm.o) [Nm/m]
0.300000014666746;1261252649.15037
0.349999961406977;1456627791.23837
0.400000083217654;1509680272.22425
0.450000129429741;1414501634.51625
0.500000024444576;1192258992.77363
0.550000158191906;873613201.067425
0.600000315812554;501180241.125637
0.650000062813167;161129810.3422
0.700000078785798;257589451.5131
0.750000036666864;461009162.664137
0.800000064576116;538017835.76415
0.850000082140296;472020625.811525
0.900000129943923;280352794.59285
0.950000182522204;38105601.1030013
1.00000004888915;211816797.409963
1.0500000011998;311796785.667937
1.09999993122876;244625020.9865
1.14999987319435;92593863.4183938
1.19999994407542;171934507.629325
1.24999981243187;218874881.226225
1.29999985665448;126611873.3397
1.34999980816937;129570725.97105
1.39999984562791;168656610.3502
1.44999974780478;107260820.322338
1.49999971523516;122671661.887862
1.54999959473247;124966692.574062
1.59999951799738;91092262.7960713
1.64999960797701;111123632.78905
1.69999924436534;85111502.490035
1.74999931962311;92395541.0837813
1.79999922856411;78758674.205505
1.84999911880442;79970139.2035875
1.89999921594597;70157988.4084363
1.94999897806668;72591060.6871975
1.99999914284901;61687383.1654587
2.04999895828657;67087118.3367963
2.09999930052653;54534309.6856337
2.14999909567183;62547507.030155
2.19999947730268;49160106.1275712
2.24999903570513;57164106.0602238
2.29999890445955;47368641.2800475
2.34999901154827;48130307.604575
2.39999897141881;48803075.6661875
2.44999850157145;39549886.2690663
2.49999912750478;44328972.0460475
2.54999921151609;40117281.14093
2.59999863742224;34963684.7941062
2.64999812619473;38398149.1631413
