Excitation Force 1.surge heading 0.0º phase
ω [rad/s];Fexₚₕ₁ tanker(Wm.o) [rad]
0.300000014666746;2.05948851735331
0.349999961406977;2.63544717051144
0.400000083217654;-1.95476876223365
0.450000129429741;-1.44862327915529
0.500000024444576;-1.18682389135614
0.550000158191906;-0.942477796076938
0.600000315812554;-0.558505360638185
0.650000062813167;0.261799387799149
0.700000078785798;1.60570291183478
0.750000036666864;2.30383461263252
0.800000064576116;2.8623399732707
0.850000082140296;-2.60054058547155
0.900000129943923;-1.22173047639603
0.950000182522204;-0.191986217719376
1.00000004888915;0.750491578357562
1.0500000011998;2.07694180987325
1.09999993122876;-2.84488668075076
1.14999987319435;-1.64060949687467
1.19999994407542;-0.139626340159546
1.24999981243187;1.37881010907552
1.29999985665448;2.87979326579064
1.34999980816937;-1.67551608191456
1.39999984562791;-0.0349065850398866
1.44999974780478;1.83259571459405
1.49999971523516;-2.61799387799149
1.54999959473247;-0.663225115757845
1.59999951799738;1.32645023151569
1.64999960797701;-2.8623399732707
1.69999924436534;-0.767944870877505
1.74999931962311;1.46607657167524
1.79999922856411;-2.60054058547155
1.84999911880442;-0.261799387799149
1.89999921594597;2.11184839491314
1.94999897806668;-1.72787595947439
1.99999914284901;0.802851455917391
2.04999895828657;-2.91469985083053
2.09999930052653;-0.261799387799149
2.14999909567183;2.460914245312
2.19999947730268;-1.06465084371654
2.24999903570513;1.76278254451427
2.29999890445955;-1.62315620435473
2.34999901154827;1.34390352403563
2.39999897141881;-1.90240888467382
2.44999850157145;1.18682389135614
2.49999912750478;-1.93731546971371
2.54999921151609;1.27409035395586
2.59999863742224;-1.71042266695444
2.64999812619473;1.62315620435473
