Radiation damping 1.surge
ω [rad/s];B₁₁ tanker(Wm.o) [N/(m/s)]
0.300000014666746;1324976.35977697
0.349999961406977;1289330.49658095
0.400000083217654;1268830.13397261
0.450000129429741;1368339.56981397
0.500000024444576;1566738.2015965
0.550000158191906;1760277.74754384
0.600000315812554;1868600.99354557
0.650000062813167;1877907.7552228
0.700000078785798;1853431.14110576
0.750000036666864;1869892.98516748
0.800000064576116;1920755.85504368
0.850000082140296;1953765.24505334
0.900000129943923;1948056.44626451
0.950000182522204;1931133.58102599
1.00000004888915;1919500.16884273
1.0500000011998;1907506.75717964
1.09999993122876;1881637.27736133
1.14999987319435;1841986.4506419
1.19999994407542;1801595.67603877
1.24999981243187;1749072.55004374
1.29999985665448;1688577.1263077
1.34999980816937;1624670.33038957
1.39999984562791;1556242.97839963
1.44999974780478;1488819.46730295
1.49999971523516;1422622.34242473
1.54999959473247;1361506.2830165
1.59999951799738;1305566.21469593
1.64999960797701;1255624.4608015
1.69999924436534;1209918.45145193
1.74999931962311;1166982.44379246
1.79999922856411;1123889.57082826
1.84999911880442;1080649.41563773
1.89999921594597;1037123.75377032
1.94999897806668;994114.368640829
1.99999914284901;953084.15653131
2.04999895828657;914766.745533396
2.09999930052653;879917.598914658
2.14999909567183;848452.208125786
2.19999947730268;819337.593833788
2.24999903570513;791376.202710406
2.29999890445955;763837.180167422
2.34999901154827;736604.834295798
2.39999897141881;710133.799653924
2.44999850157145;685013.584668045
2.49999912750478;661709.531564559
2.54999921151609;640243.61478061
2.59999863742224;620139.312004431
2.64999812619473;600745.253839935
