Excitation Force 1.roll heading 180.0º phase
ω [rad/s];Fexₚₕ₄ tanker(Wm.o) [rad]
0.300000014666746;-2.75762021815104
0.349999961406977;2.77507351067098
0.400000083217654;1.53588974175501
0.450000129429741;0.907571211037051
0.500000024444576;0.558505360638185
0.550000158191906;0.209439510239319
0.600000315812554;-0.279252680319093
0.650000062813167;-1.20427718387609
0.700000078785798;-2.16420827247297
0.750000036666864;-2.72271363311115
0.800000064576116;3.05432619099008
0.850000082140296;2.16420827247297
0.900000129943923;0.959931088596881
0.950000182522204;0.331612557878923
1.00000004888915;-0.366519142918809
1.0500000011998;-2.07694180987325
1.09999993122876;-2.82743338823081
1.14999987319435;2.7401669256311
1.19999994407542;0.453785605518526
1.24999981243187;-0.0174532925199433
1.29999985665448;-2.77507351067098
1.34999980816937;2.94960643587042
1.39999984562791;-0.0349065850398866
1.44999974780478;-0.593411945678072
1.49999971523516;2.77507351067098
1.54999959473247;1.95476876223365
1.59999951799738;-0.698131700797732
1.64999960797701;-2.67035375555132
1.69999924436534;1.98967534727354
1.74999931962311;-0.890117918517108
1.79999922856411;2.72271363311115
1.84999911880442;1.48352986419518
1.89999921594597;-1.58824961931484
1.94999897806668;1.83259571459405
1.99999914284901;0.139626340159546
2.04999895828657;-2.37364778271229
2.09999930052653;1.01229096615671
2.14999909567183;-1.88495559215388
2.19999947730268;1.46607657167524
2.24999903570513;-1.27409035395586
2.29999890445955;2.67035375555132
2.34999901154827;-0.15707963267949
2.39999897141881;2.93215314335047
2.44999850157145;-0.314159265358979
2.49999912750478;2.7401669256311
2.54999921151609;-0.418879020478639
2.59999863742224;2.65290046303138
2.64999812619473;-0.645771823237902
