Excitation Force 1.pitch heading 45.0º mag
ω [rad/s];Fexₘₐ₅ tanker(Wm.o) [Nm/m]
0.300000014666746;3201812066.38387
0.349999961406977;3165502895.72563
0.400000083217654;2987543530.47237
0.450000129429741;2604970398.81575
0.500000024444576;2054418350.2605
0.550000158191906;1430826789.28788
0.600000315812554;820666666.224825
0.650000062813167;435211176.258512
0.700000078785798;608553541.271813
0.750000036666864;814021008.4293
0.800000064576116;818074805.404762
0.850000082140296;645591770.162675
0.900000129943923;439048758.666438
0.950000182522204;410914127.055337
1.00000004888915;478924816.321
1.0500000011998;433667317.800675
1.09999993122876;300019374.1223
1.14999987319435;318444654.863038
1.19999994407542;343162071.021787
1.24999981243187;217648961.716375
1.29999985665448;199671388.871412
1.34999980816937;217591063.254775
1.39999984562791;124430629.21345
1.44999974780478;126679823.61755
1.49999971523516;103317894.880112
1.54999959473247;70063632.0092975
1.59999951799738;68404790.8253762
1.64999960797701;50334791.529995
1.69999924436534;52070227.5537412
1.74999931962311;44432807.30791
1.79999922856411;47739794.5432625
1.84999911880442;40831774.2917962
1.89999921594597;39800608.72179
1.94999897806668;35647710.8899188
1.99999914284901;29097565.4524013
2.04999895828657;28145678.5571588
2.09999930052653;21924086.7855887
2.14999909567183;19516083.736555
2.19999947730268;20510218.4154962
2.24999903570513;16892609.9543862
2.29999890445955;18345710.5633025
2.34999901154827;18122841.6934075
2.39999897141881;16915427.5772738
2.44999850157145;15254525.7710212
2.49999912750478;14889685.0484112
2.54999921151609;12436901.1579837
2.59999863742224;10155018.2474387
2.64999812619473;9104561.2316855
