Excitation Force 1.roll heading 45.0º mag
ω [rad/s];Fexₘₐ₄ tanker(Wm.o) [Nm/m]
0.300000014666746;57383778.4525512
0.349999961406977;43092658.958195
0.400000083217654;25269693.0989738
0.450000129429741;7575406.5706585
0.500000024444576;13460668.59123
0.550000158191906;25836937.1935937
0.600000315812554;33415272.8635075
0.650000062813167;34245794.1293475
0.700000078785798;28211045.5182325
0.750000036666864;18830891.6300575
0.800000064576116;12560739.5341837
0.850000082140296;19421425.7829287
0.900000129943923;26124992.09187
0.950000182522204;25554742.5041912
1.00000004888915;17358481.482125
1.0500000011998;14691041.0556788
1.09999993122876;21761971.0931087
1.14999987319435;20063173.9395937
1.19999994407542;10258752.9911387
1.24999981243187;16413158.4228937
1.29999985665448;17341403.4463162
1.34999980816937;8407384.34467313
1.39999984562791;13107276.8873287
1.44999974780478;11797575.489035
1.49999971523516;7321912.83219462
1.54999959473247;9642954.60330475
1.59999951799738;6333474.51752225
1.64999960797701;6692242.93793563
1.69999924436534;4728041.64888213
1.74999931962311;5090286.99253637
1.79999922856411;2972043.62981487
1.84999911880442;3793154.38528162
1.89999921594597;2167602.80641713
1.94999897806668;2853541.762862
1.99999914284901;2213153.61693562
2.04999895828657;2270050.91763713
2.09999930052653;2304482.40901987
2.14999909567183;1952903.0475885
2.19999947730268;1935411.88213188
2.24999903570513;1771340.10620963
2.29999890445955;1371427.59152175
2.34999901154827;1323685.48506075
2.39999897141881;1114192.56704962
2.44999850157145;1040920.85767687
2.49999912750478;1000084.65053411
2.54999921151609;1109261.14599738
2.59999863742224;1088781.57556962
2.64999812619473;1045203.936581
