Excitation Force 1.sway heading 45.0º mag
ω [rad/s];Fexₘₐ₂ tanker(Wm.o) [N/m]
0.300000014666746;16889302.90684
0.349999961406977;13869033.6782025
0.400000083217654;9909709.70294725
0.450000129429741;5569333.435834
0.500000024444576;2253171.90779013
0.550000158191906;3425278.01416412
0.600000315812554;5279087.24161525
0.650000062813167;5907261.42561625
0.700000078785798;5192095.80824288
0.750000036666864;3433925.591684
0.800000064576116;1336120.58694363
0.850000082140296;445936.3636791
0.900000129943923;1398940.41777962
0.950000182522204;1279537.90809075
1.00000004888915;644796.369942812
1.0500000011998;769778.14024125
1.09999993122876;741430.008053
1.14999987319435;57370.6708841612
1.19999994407542;900504.925599213
1.24999981243187;893981.296852962
1.29999985665448;91614.2938211987
1.34999980816937;798333.7419169
1.39999984562791;600557.120408613
1.44999974780478;205247.6339361
1.49999971523516;565446.628838175
1.54999959473247;92414.3781874338
1.59999951799738;362934.49617635
1.64999960797701;86061.0975711725
1.69999924436534;263936.670884162
1.74999931962311;65139.7900265
1.79999922856411;219369.129031237
1.84999911880442;17237.9300498387
1.89999921594597;181424.0252783
1.94999897806668;70986.9214873087
1.99999914284901;131280.439397013
2.04999895828657;132584.964109937
2.09999930052653;71135.3868133213
2.14999909567183;142720.009398488
2.19999947730268;55322.0303178813
2.24999903570513;88825.0253818025
2.29999890445955;70883.4179353825
2.34999901154827;38578.22745126
2.39999897141881;35165.6257825687
2.44999850157145;57987.440277445
2.49999912750478;60260.0152061425
2.54999921151609;37222.2575427675
2.59999863742224;63908.2716549988
2.64999812619473;57342.4956432125
