Excitation Force 1.yaw heading 45.0º mag
ω [rad/s];Fexₘₐ₆ tanker(Wm.o) [Nm/m]
0.300000014666746;1240704726.37212
0.349999961406977;1432782872.73013
0.400000083217654;1475219630.57438
0.450000129429741;1366510243.01225
0.500000024444576;1134829950.9925
0.550000158191906;810792465.567963
0.600000315812554;436932047.200513
0.650000062813167;104918244.545275
0.700000078785798;222683413.885187
0.750000036666864;370645143.903562
0.800000064576116;385629386.387437
0.850000082140296;273742418.672363
0.900000129943923;106584132.052387
0.950000182522204;76239116.0997287
1.00000004888915;129932490.837887
1.0500000011998;76935526.0331613
1.09999993122876;60618975.6162462
1.14999987319435;118164427.481363
1.19999994407542;67125556.4821362
1.24999981243187;51674236.2525725
1.29999985665448;109898718.460825
1.34999980816937;48102132.3636263
1.39999984562791;50091396.8513175
1.44999974780478;71136010.0259288
1.49999971523516;3655729.97423813
1.54999959473247;47039514.6605738
1.59999951799738;11895691.2674512
1.64999960797701;28209226.1394912
1.69999924436534;9258368.09285325
1.74999931962311;22899585.3972025
1.79999922856411;6159174.013384
1.84999911880442;22272060.5605312
1.89999921594597;6932809.03552037
1.94999897806668;19179558.9803213
1.99999914284901;13849935.2273275
2.04999895828657;12845577.85126
2.09999930052653;16785538.0076912
2.14999909567183;5873690.3697045
2.19999947730268;13036763.396335
2.24999903570513;6305531.47352887
2.29999890445955;4143479.280045
2.34999901154827;4979495.87382887
2.39999897141881;5293723.69125688
2.44999850157145;4603103.60398438
2.49999912750478;5257047.6293055
2.54999921151609;8520645.19463325
2.59999863742224;6430570.03658913
2.64999812619473;6262613.23368625
